"node_id","macro_comunidad","micro_comunidad","modulo_superior_detectado","final_module"
1,1,5,1,1
2,1,4,1,1
3,1,1,1,1
4,1,2,1,1
5,1,1,1,1
6,1,4,1,1
7,1,2,1,1
8,1,4,1,1
9,1,2,1,1
10,1,1,1,1
11,1,1,1,1
12,1,5,1,1
13,1,1,1,1
14,1,5,1,1
15,1,5,1,1
16,1,4,1,1
17,1,3,2,2
18,1,3,2,2
19,1,5,1,1
20,1,4,1,1
21,1,5,1,1
22,1,4,1,1
23,1,1,1,1
24,1,3,2,2
25,1,2,1,1
26,1,5,1,1
27,1,1,1,1
28,1,1,1,1
29,1,1,1,1
30,1,5,1,1
31,1,2,1,1
32,1,2,1,1
33,1,3,2,2
34,1,3,2,2
35,1,4,1,1
36,1,4,1,1
37,1,4,1,1
38,1,5,1,1
39,1,5,1,1
40,1,4,1,1
41,1,1,1,1
42,1,4,1,1
43,1,4,1,1
44,1,3,2,2
45,1,2,1,1
46,1,5,1,1
47,1,3,2,2
48,1,5,1,1
49,1,4,1,1
50,1,1,1,1
51,1,5,1,1
52,1,1,1,1
53,1,1,1,1
54,1,5,1,1
55,1,5,1,1
56,1,4,1,1
57,1,2,1,1
58,1,2,1,1
59,1,4,1,1
60,1,2,1,1
61,1,4,1,1
62,1,3,2,2
63,1,5,1,1
64,1,1,1,1
65,1,1,1,1
66,1,2,1,1
67,1,5,1,1
68,1,1,1,1
69,1,1,1,1
70,1,1,1,1
71,1,4,1,1
72,1,3,2,2
73,1,4,1,1
74,1,2,1,1
75,1,5,1,1
76,1,3,2,2
77,1,2,1,1
78,1,2,1,1
79,1,1,1,1
80,1,1,1,1
81,1,1,1,1
82,1,2,1,1
83,1,4,1,1
84,1,4,1,1
85,1,4,1,1
86,1,2,1,1
87,1,3,2,2
88,1,3,2,2
89,1,4,1,1
90,1,5,1,1
91,1,4,1,1
92,1,3,2,2
93,1,4,1,1
94,1,4,1,1
95,1,5,1,1
96,1,4,1,1
97,1,2,1,1
98,1,1,1,1
99,1,5,1,1
100,1,4,1,1
101,1,3,2,2
102,1,5,1,1
103,1,1,1,1
104,1,4,1,1
105,1,4,1,1
106,1,2,1,1
107,1,5,1,1
108,1,1,1,1
109,1,4,1,1
110,1,5,1,1
111,1,1,1,1
112,1,1,1,1
113,1,4,1,1
114,1,2,1,1
115,1,4,1,1
116,1,5,1,1
117,1,1,1,1
118,1,1,1,1
119,1,3,2,2
120,1,4,1,1
121,1,1,1,1
122,1,3,2,2
123,1,4,1,1
124,1,5,1,1
125,1,5,1,1
126,1,2,1,1
127,1,1,1,1
128,1,2,1,1
129,1,3,2,2
130,1,4,1,1
131,1,2,1,1
132,1,3,2,2
133,1,1,1,1
134,1,4,1,1
135,1,5,1,1
136,1,1,1,1
137,1,4,1,1
138,1,5,1,1
139,1,2,1,1
140,1,3,2,2
141,1,3,2,2
142,1,5,1,1
143,1,4,1,1
144,1,1,1,1
145,1,2,1,1
146,1,3,2,2
147,1,5,1,1
148,1,1,1,1
149,1,4,1,1
150,1,5,1,1
151,1,1,1,1
152,1,1,1,1
153,1,5,1,1
154,1,4,1,1
155,1,5,1,1
156,1,1,1,1
157,1,2,1,1
158,1,1,1,1
159,1,4,1,1
160,1,2,1,1
161,1,1,1,1
162,1,1,1,1
163,1,1,1,1
164,1,3,2,2
165,1,4,1,1
166,1,4,1,1
167,1,4,1,1
168,1,5,1,1
169,1,5,1,1
170,1,2,1,1
171,1,4,1,1
172,1,1,1,1
173,1,2,1,1
174,1,1,1,1
175,1,4,1,1
176,1,4,1,1
177,1,5,1,1
178,1,1,1,1
179,1,1,1,1
180,1,5,1,1
181,1,5,1,1
182,1,4,1,1
183,1,4,1,1
184,1,4,1,1
185,1,1,1,1
186,1,5,1,1
187,1,1,1,1
188,1,1,1,1
189,1,1,1,1
190,1,5,1,1
191,1,1,1,1
192,2,8,3,3
193,2,7,3,3
194,2,7,3,3
195,2,7,3,3
196,2,10,3,3
197,2,8,3,3
198,2,6,3,3
199,2,10,3,3
200,2,7,3,3
201,2,8,3,3
202,2,10,3,3
203,2,8,3,3
204,2,10,3,3
205,2,6,3,3
206,2,9,3,3
207,2,10,3,3
208,2,8,3,3
209,2,8,3,3
210,2,9,3,3
211,2,9,3,3
212,2,10,3,3
213,2,10,3,3
214,2,9,3,3
215,2,7,3,3
216,2,8,3,3
217,2,10,3,3
218,2,8,3,3
219,2,6,3,3
220,2,10,3,3
221,2,8,3,3
222,2,7,3,3
223,2,10,3,3
224,2,7,3,3
225,2,9,3,3
226,2,8,3,3
227,2,6,3,3
228,2,10,3,3
229,2,10,3,3
230,2,8,3,3
231,2,10,3,3
232,2,10,3,3
233,2,9,3,3
234,2,8,3,3
235,2,8,3,3
236,2,10,3,3
237,2,9,3,3
238,2,7,3,3
239,2,9,3,3
240,2,6,3,3
241,2,9,3,3
242,2,7,3,3
243,2,8,3,3
244,2,7,3,3
245,2,10,3,3
246,2,8,3,3
247,2,6,3,3
248,2,10,3,3
249,2,8,3,3
250,2,8,3,3
251,2,9,3,3
252,2,7,3,3
253,2,6,3,3
254,2,8,3,3
255,2,9,3,3
256,2,8,3,3
257,2,10,3,3
258,2,9,3,3
259,2,6,3,3
260,2,8,3,3
261,2,10,3,3
262,2,9,3,3
263,2,8,3,3
264,2,6,3,3
265,2,6,3,3
266,2,10,3,3
267,2,10,3,3
268,2,10,3,3
269,2,8,3,3
270,2,9,3,3
271,2,7,3,3
272,2,7,3,3
273,2,10,3,3
274,2,10,3,3
275,2,7,3,3
276,2,9,3,3
277,2,7,3,3
278,2,7,3,3
279,2,8,3,3
280,2,10,3,3
281,2,8,3,3
282,2,6,3,3
283,2,8,3,3
284,2,8,3,3
285,2,7,3,3
286,2,8,3,3
287,2,6,3,3
288,2,9,3,3
289,2,10,3,3
290,2,8,3,3
291,2,9,3,3
292,2,8,3,3
293,2,8,3,3
294,2,6,3,3
295,2,7,3,3
296,2,9,3,3
297,2,10,3,3
298,2,7,3,3
299,2,9,3,3
300,2,10,3,3
301,2,6,3,3
302,2,7,3,3
303,2,8,3,3
304,2,9,3,3
305,2,10,3,3
306,2,7,3,3
307,2,10,3,3
308,2,10,3,3
309,2,8,3,3
310,2,6,3,3
311,2,8,3,3
312,2,9,3,3
313,2,9,3,3
314,2,6,3,3
315,2,10,3,3
316,2,9,3,3
317,2,6,3,3
318,2,6,3,3
319,2,8,3,3
320,2,8,3,3
321,2,8,3,3
322,2,8,3,3
323,2,10,3,3
324,2,9,3,3
325,2,10,3,3
326,2,9,3,3
327,2,8,3,3
328,2,7,3,3
329,2,10,3,3
330,2,10,3,3
331,2,6,3,3
332,2,10,3,3
333,2,9,3,3
334,2,6,3,3
335,2,7,3,3
336,2,9,3,3
337,2,6,3,3
338,2,8,3,3
339,2,7,3,3
340,2,10,3,3
341,2,10,3,3
342,2,9,3,3
343,2,10,3,3
344,2,10,3,3
345,2,8,3,3
346,2,7,3,3
347,2,10,3,3
348,2,9,3,3
349,2,9,3,3
350,2,9,3,3
351,2,10,3,3
352,2,8,3,3
353,2,8,3,3
354,2,8,3,3
355,2,7,3,3
356,2,6,3,3
357,2,10,3,3
358,2,10,3,3
359,2,10,3,3
360,2,7,3,3
361,2,7,3,3
362,2,6,3,3
363,2,7,3,3
364,2,10,3,3
365,2,10,3,3
366,2,8,3,3
367,2,10,3,3
368,2,6,3,3
369,2,7,3,3
370,2,10,3,3
371,2,10,3,3
372,2,6,3,3
373,2,8,3,3
374,2,10,3,3
375,2,8,3,3
376,2,8,3,3
377,2,10,3,3
378,2,9,3,3
