"node_id","final_module"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,2
18,2
19,1
20,1
21,1
22,1
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,2
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,2
45,1
46,1
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,2
88,2
89,1
90,1
91,1
92,2
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,2
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,2
120,1
121,1
122,2
123,1
124,1
125,1
126,1
127,1
128,1
129,2
130,1
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,2
141,2
142,1
143,1
144,1
145,1
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,3
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,4
388,5
389,6
390,7
391,4
392,8
393,4
394,6
395,6
396,8
397,4
398,4
399,9
400,6
401,6
402,4
403,10
404,8
405,4
406,6
407,6
408,4
409,6
410,8
411,5
412,10
413,10
414,5
415,5
416,9
417,6
418,10
419,4
420,10
421,8
422,7
423,9
424,9
425,8
426,4
427,4
428,8
429,8
430,8
431,6
432,4
433,4
434,8
435,10
436,8
437,6
438,6
439,7
440,4
441,10
442,5
443,5
444,10
445,8
446,9
447,6
448,7
449,7
450,7
451,7
452,10
453,5
454,7
455,8
456,6
457,5
458,4
459,10
460,5
461,5
462,5
463,7
464,4
465,4
466,4
467,5
468,10
469,9
470,8
471,4
472,5
473,7
474,9
475,5
476,9
477,9
478,9
479,5
480,6
481,5
482,4
483,9
484,8
485,10
486,10
487,5
488,6
489,6
490,5
491,8
492,4
493,4
494,7
495,8
496,5
497,4
498,8
499,9
500,6
501,4
502,4
503,7
504,5
505,7
506,4
507,6
508,9
509,4
510,8
511,8
512,10
513,4
514,8
515,8
516,10
517,10
518,7
519,8
520,10
521,8
522,8
523,10
524,10
525,6
526,8
527,6
528,6
529,4
530,7
531,8
532,4
533,9
534,8
535,6
536,8
537,9
538,10
539,10
540,9
541,8
542,7
543,8
544,8
545,7
546,8
547,9
548,8
549,7
550,9
551,4
552,10
553,9
554,5
555,7
556,6
557,7
558,4
559,8
560,8
561,9
562,6
563,9
564,8
565,4
566,4
567,4
568,8
569,4
570,8
571,7
572,4
573,4
574,6
575,10
576,5
577,6
578,4
579,4
580,4
581,10
582,8
583,10
584,8
585,5
586,7
587,6
588,4
589,8
590,5
591,6
592,8
593,4
594,4
595,4
596,5
597,6
598,6
599,9
600,7
