"node_id","macro_comunidad","micro_comunidad","modulo_superior_detectado","final_module"
1,1,18,1,1
2,1,2,1,2
3,1,20,1,3
4,1,3,1,4
5,1,5,1,5
6,1,21,1,6
7,1,26,1,7
8,1,22,1,8
9,1,30,1,9
10,1,21,1,6
11,1,12,1,10
12,1,2,1,2
13,1,30,1,9
14,1,29,1,11
15,1,20,1,3
16,1,11,1,12
17,1,9,1,13
18,1,13,1,14
19,1,24,1,15
20,1,31,1,16
21,1,23,1,17
22,1,12,1,10
23,1,31,1,16
24,1,13,1,14
25,1,13,1,14
26,1,7,1,18
27,1,12,1,10
28,1,25,1,19
29,1,21,1,6
30,1,26,1,7
31,1,14,1,20
32,1,23,1,17
33,1,30,1,9
34,1,27,1,21
35,1,20,1,3
36,1,7,1,18
37,1,15,1,22
38,1,17,1,23
39,1,14,1,20
40,1,29,1,11
41,1,17,1,23
42,1,7,1,18
43,1,26,1,7
44,1,14,1,20
45,1,27,1,21
46,1,24,1,15
47,1,29,1,11
48,1,26,1,7
49,1,11,1,12
50,1,28,1,24
51,1,26,1,7
52,1,30,1,9
53,1,2,1,2
54,1,13,1,14
55,1,13,1,14
56,1,24,1,15
57,1,9,1,13
58,1,29,1,11
59,1,3,1,4
60,1,2,1,2
61,1,16,1,25
62,1,3,1,4
63,1,3,1,4
64,1,14,1,20
65,1,18,1,1
66,1,19,1,26
67,1,8,1,27
68,1,13,1,14
69,1,4,1,28
70,1,1,1,29
71,1,4,1,28
72,1,19,1,26
73,1,10,1,30
74,1,29,1,11
75,1,9,1,13
76,1,5,1,5
77,1,10,1,30
78,1,25,1,19
79,1,11,1,12
80,1,14,1,20
81,1,24,1,15
82,1,3,1,4
83,1,28,1,24
84,1,29,1,11
85,1,14,1,20
86,1,28,1,24
87,1,10,1,30
88,1,4,1,28
89,1,5,1,5
90,1,21,1,6
91,1,27,1,21
92,1,29,1,11
93,1,26,1,7
94,1,3,1,4
95,1,15,1,22
96,1,25,1,19
97,1,18,1,1
98,1,19,1,26
99,1,1,1,29
100,1,30,1,9
101,1,18,1,1
102,1,1,1,29
103,1,19,1,26
104,1,29,1,11
105,1,26,1,7
106,1,21,1,6
107,1,2,1,2
108,1,13,1,14
109,1,13,1,14
110,1,8,1,27
111,1,9,1,13
112,1,29,1,11
113,1,7,1,18
114,1,5,1,5
115,1,16,1,25
116,1,16,1,25
117,1,1,1,29
118,1,13,1,14
119,1,21,1,6
120,1,30,1,9
121,1,3,1,4
122,1,22,1,8
123,1,31,1,16
124,1,27,1,21
125,1,21,1,6
126,1,2,1,2
127,1,4,1,28
128,1,4,1,28
129,1,26,1,7
130,1,24,1,15
131,1,3,1,4
132,1,27,1,21
133,1,4,1,28
134,1,5,1,5
135,1,9,1,13
136,1,26,1,7
137,1,21,1,6
138,1,18,1,1
139,1,24,1,15
140,1,15,1,22
141,1,18,1,1
142,1,23,1,17
143,1,20,1,3
144,1,11,1,12
145,1,1,1,29
146,1,8,1,27
147,1,21,1,6
148,1,26,1,7
149,1,27,1,21
150,1,29,1,11
151,1,28,1,24
152,1,28,1,24
153,1,5,1,5
154,1,8,1,27
155,1,14,1,20
156,1,15,1,22
157,1,18,1,1
158,1,17,1,23
159,1,20,1,3
160,1,30,1,9
161,1,21,1,6
162,1,23,1,17
163,1,10,1,30
164,1,23,1,17
165,1,5,1,5
166,1,14,1,20
167,1,3,1,4
168,1,18,1,1
169,1,15,1,22
170,1,14,1,20
171,1,7,1,18
172,1,18,1,1
173,1,1,1,29
174,1,10,1,30
175,1,19,1,26
176,1,26,1,7
177,1,30,1,9
178,1,17,1,23
179,1,27,1,21
180,1,31,1,16
181,1,17,1,23
182,1,30,1,9
183,1,27,1,21
184,1,17,1,23
185,1,18,1,1
186,1,27,1,21
187,1,6,1,31
188,1,11,1,12
189,1,16,1,25
190,1,12,1,10
191,1,16,1,25
192,1,15,1,22
193,1,15,1,22
194,1,18,1,1
195,1,17,1,23
196,1,8,1,27
197,1,20,1,3
198,1,30,1,9
199,1,31,1,16
200,1,24,1,15
201,1,21,1,6
202,1,30,1,9
203,1,14,1,20
204,1,22,1,8
205,1,15,1,22
206,1,30,1,9
207,1,17,1,23
208,1,1,1,29
209,1,31,1,16
210,1,6,1,31
211,1,31,1,16
212,1,16,1,25
213,1,10,1,30
214,1,1,1,29
215,1,7,1,18
216,1,10,1,30
217,1,4,1,28
218,1,20,1,3
219,1,1,1,29
220,1,18,1,1
221,1,30,1,9
222,1,10,1,30
223,1,8,1,27
224,1,26,1,7
225,1,6,1,31
226,1,8,1,27
227,1,15,1,22
228,1,4,1,28
229,1,16,1,25
230,1,15,1,22
231,1,6,1,31
232,1,23,1,17
233,1,22,1,8
234,1,15,1,22
235,1,28,1,24
236,1,13,1,14
237,1,23,1,17
238,1,27,1,21
239,1,17,1,23
240,1,10,1,30
241,1,28,1,24
242,1,9,1,13
243,1,25,1,19
244,1,5,1,5
245,1,19,1,26
246,1,7,1,18
247,1,30,1,9
248,1,26,1,7
249,1,29,1,11
250,1,6,1,31
251,1,1,1,29
252,1,17,1,23
253,1,19,1,26
254,1,9,1,13
255,1,28,1,24
256,1,3,1,4
257,1,24,1,15
258,1,14,1,20
259,1,17,1,23
260,1,24,1,15
261,1,14,1,20
262,1,17,1,23
263,1,29,1,11
264,1,27,1,21
265,1,3,1,4
266,1,13,1,14
267,1,23,1,17
268,1,5,1,5
269,1,31,1,16
270,1,4,1,28
271,1,19,1,26
272,1,4,1,28
273,1,29,1,11
274,1,28,1,24
275,1,13,1,14
276,1,10,1,30
277,1,12,1,10
278,1,4,1,28
279,1,6,1,31
280,1,24,1,15
281,1,22,1,8
282,1,29,1,11
283,1,1,1,29
284,1,18,1,1
285,1,10,1,30
286,1,1,1,29
287,1,9,1,13
288,1,28,1,24
289,1,6,1,31
290,1,20,1,3
291,1,16,1,25
292,1,24,1,15
293,1,12,1,10
294,1,28,1,24
295,1,20,1,3
296,1,2,1,2
297,1,5,1,5
298,1,4,1,28
299,1,12,1,10
300,1,18,1,1
301,1,22,1,8
302,1,2,1,2
303,1,9,1,13
304,1,30,1,9
305,1,5,1,5
306,1,4,1,28
307,1,22,1,8
308,1,6,1,31
309,1,16,1,25
310,1,18,1,1
311,1,7,1,18
312,1,4,1,28
313,1,2,1,2
314,1,25,1,19
315,1,16,1,25
316,1,29,1,11
317,1,4,1,28
318,1,18,1,1
319,1,21,1,6
320,1,16,1,25
321,1,4,1,28
322,1,18,1,1
323,1,26,1,7
324,1,26,1,7
325,1,2,1,2
326,1,22,1,8
327,1,18,1,1
328,1,8,1,27
329,1,18,1,1
330,1,1,1,29
331,1,2,1,2
332,1,26,1,7
333,1,30,1,9
334,1,14,1,20
335,1,23,1,17
336,1,6,1,31
337,1,15,1,22
338,1,1,1,29
339,1,10,1,30
340,1,27,1,21
341,1,2,1,2
342,1,29,1,11
343,1,24,1,15
344,1,1,1,29
345,1,9,1,13
346,1,26,1,7
347,1,8,1,27
348,1,29,1,11
349,1,16,1,25
350,1,22,1,8
351,1,5,1,5
352,1,5,1,5
353,1,2,1,2
354,1,29,1,11
355,1,19,1,26
356,1,19,1,26
357,1,27,1,21
358,1,27,1,21
359,1,16,1,25
360,1,30,1,9
361,1,15,1,22
362,1,2,1,2
363,1,20,1,3
364,1,14,1,20
365,1,6,1,31
366,1,18,1,1
367,1,1,1,29
368,1,11,1,12
369,1,21,1,6
370,1,6,1,31
371,1,18,1,1
372,1,16,1,25
373,1,31,1,16
374,1,19,1,26
375,1,28,1,24
376,1,19,1,26
377,1,9,1,13
378,1,30,1,9
379,1,7,1,18
380,1,4,1,28
381,1,25,1,19
382,1,16,1,25
383,1,22,1,8
384,1,20,1,3
385,1,28,1,24
386,1,8,1,27
387,1,6,1,31
388,1,21,1,6
389,1,19,1,26
390,1,27,1,21
391,1,19,1,26
392,1,18,1,1
393,1,9,1,13
394,1,13,1,14
395,1,12,1,10
396,1,14,1,20
397,1,3,1,4
398,1,2,1,2
399,1,7,1,18
400,1,22,1,8
401,1,4,1,28
402,1,20,1,3
403,1,3,1,4
404,1,11,1,12
405,1,11,1,12
406,1,26,1,7
407,1,14,1,20
408,1,14,1,20
409,1,22,1,8
410,1,23,1,17
411,1,12,1,10
412,1,7,1,18
413,1,20,1,3
414,1,26,1,7
415,1,5,1,5
416,1,15,1,22
417,1,18,1,1
418,1,2,1,2
419,1,3,1,4
420,1,3,1,4
421,1,15,1,22
422,1,23,1,17
423,1,19,1,26
424,1,20,1,3
425,1,10,1,30
426,1,31,1,16
427,1,31,1,16
428,1,25,1,19
429,1,21,1,6
430,1,27,1,21
431,1,10,1,30
432,1,29,1,11
433,1,17,1,23
434,1,2,1,2
435,1,12,1,10
436,1,3,1,4
437,1,15,1,22
438,1,26,1,7
439,1,18,1,1
440,1,23,1,17
441,1,22,1,8
442,1,20,1,3
443,1,29,1,11
444,1,18,1,1
445,1,8,1,27
446,1,4,1,28
447,1,7,1,18
448,1,23,1,17
449,1,22,1,8
450,1,12,1,10
451,1,9,1,13
452,1,27,1,21
453,1,21,1,6
454,1,13,1,14
455,1,21,1,6
456,1,16,1,25
457,1,17,1,23
458,1,1,1,29
459,1,26,1,7
460,1,30,1,9
461,1,28,1,24
462,1,20,1,3
463,1,30,1,9
464,1,5,1,5
465,1,6,1,31
466,1,12,1,10
467,1,2,1,2
468,1,26,1,7
469,1,11,1,12
470,1,14,1,20
471,1,24,1,15
472,1,12,1,10
473,1,6,1,31
474,1,14,1,20
475,1,13,1,14
476,1,8,1,27
477,1,18,1,1
478,1,1,1,29
479,1,16,1,25
480,1,13,1,14
481,1,10,1,30
482,1,6,1,31
483,1,1,1,29
484,1,26,1,7
485,1,11,1,12
486,1,27,1,21
487,1,9,1,13
488,1,14,1,20
489,1,31,1,16
490,1,11,1,12
491,1,6,1,31
492,1,25,1,19
493,1,7,1,18
494,1,31,1,16
495,1,22,1,8
496,1,27,1,21
497,1,18,1,1
498,1,15,1,22
499,1,6,1,31
500,1,31,1,16
501,1,11,1,12
502,1,14,1,20
503,1,15,1,22
504,1,21,1,6
505,1,12,1,10
506,1,15,1,22
507,1,29,1,11
508,1,31,1,16
509,1,26,1,7
510,1,6,1,31
511,1,15,1,22
512,1,18,1,1
513,1,12,1,10
514,1,22,1,8
515,1,3,1,4
516,1,15,1,22
517,1,14,1,20
518,1,9,1,13
519,1,6,1,31
520,1,12,1,10
521,1,25,1,19
522,1,29,1,11
523,1,13,1,14
524,1,22,1,8
525,1,4,1,28
526,1,26,1,7
527,1,18,1,1
528,1,14,1,20
529,1,21,1,6
530,1,11,1,12
531,1,8,1,27
532,1,8,1,27
533,1,28,1,24
534,1,18,1,1
535,1,29,1,11
536,1,10,1,30
537,1,22,1,8
538,1,29,1,11
539,1,24,1,15
540,1,19,1,26
541,1,10,1,30
542,1,18,1,1
543,1,31,1,16
544,1,23,1,17
545,1,18,1,1
546,1,30,1,9
547,1,2,1,2
548,1,23,1,17
549,1,4,1,28
550,1,27,1,21
551,1,10,1,30
552,1,20,1,3
553,1,30,1,9
554,1,30,1,9
555,1,21,1,6
556,1,1,1,29
557,1,19,1,26
558,1,13,1,14
559,1,22,1,8
560,1,28,1,24
561,1,3,1,4
562,1,29,1,11
563,1,10,1,30
564,1,14,1,20
565,1,26,1,7
566,1,24,1,15
567,1,23,1,17
568,1,1,1,29
569,1,11,1,12
570,1,25,1,19
571,1,15,1,22
572,1,13,1,14
573,1,22,1,8
574,1,17,1,23
575,1,12,1,10
576,1,15,1,22
577,1,11,1,12
578,1,25,1,19
579,1,9,1,13
580,1,14,1,20
581,1,5,1,5
582,1,5,1,5
583,1,26,1,7
584,1,26,1,7
585,1,7,1,18
586,1,13,1,14
587,1,14,1,20
588,1,2,1,2
589,1,25,1,19
590,1,22,1,8
591,1,10,1,30
592,1,13,1,14
593,1,22,1,8
594,1,16,1,25
595,1,23,1,17
596,1,18,1,1
597,1,8,1,27
598,1,29,1,11
599,1,31,1,16
600,1,22,1,8
601,1,7,1,18
602,1,1,1,29
603,1,27,1,21
604,1,1,1,29
605,1,7,1,18
606,1,25,1,19
607,1,18,1,1
608,1,24,1,15
609,1,27,1,21
610,1,7,1,18
611,1,12,1,10
612,1,28,1,24
613,1,25,1,19
614,1,1,1,29
615,1,23,1,17
616,1,23,1,17
617,1,30,1,9
618,1,21,1,6
619,1,12,1,10
620,1,24,1,15
621,1,25,1,19
622,1,9,1,13
623,1,31,1,16
624,1,30,1,9
625,1,2,1,2
626,1,3,1,4
627,1,4,1,28
628,1,15,1,22
629,1,15,1,22
630,1,12,1,10
631,1,1,1,29
632,1,17,1,23
633,1,17,1,23
634,1,18,1,1
635,1,5,1,5
636,1,1,1,29
637,1,26,1,7
638,1,8,1,27
639,1,29,1,11
640,1,23,1,17
641,1,5,1,5
642,1,4,1,28
643,1,3,1,4
644,1,8,1,27
645,1,14,1,20
646,1,22,1,8
647,1,12,1,10
648,1,7,1,18
649,1,22,1,8
650,1,24,1,15
651,1,4,1,28
652,1,10,1,30
653,1,18,1,1
654,1,22,1,8
655,1,24,1,15
656,1,17,1,23
657,1,26,1,7
658,1,5,1,5
659,1,11,1,12
660,1,14,1,20
661,1,19,1,26
662,1,4,1,28
663,1,2,1,2
664,1,11,1,12
665,1,30,1,9
666,1,18,1,1
667,1,18,1,1
668,1,30,1,9
669,1,15,1,22
670,1,4,1,28
671,1,6,1,31
672,1,22,1,8
673,1,7,1,18
674,1,6,1,31
675,1,28,1,24
676,1,9,1,13
677,1,20,1,3
678,1,10,1,30
679,1,9,1,13
680,1,28,1,24
681,1,29,1,11
682,1,10,1,30
683,1,19,1,26
684,1,2,1,2
685,1,14,1,20
686,1,9,1,13
687,1,12,1,10
688,1,5,1,5
689,1,17,1,23
690,1,18,1,1
691,1,4,1,28
692,1,8,1,27
693,1,6,1,31
694,1,17,1,23
695,1,1,1,29
696,1,29,1,11
697,1,19,1,26
698,1,26,1,7
699,1,6,1,31
700,1,30,1,9
701,1,26,1,7
702,1,28,1,24
703,1,16,1,25
704,1,10,1,30
705,1,13,1,14
706,1,29,1,11
707,1,13,1,14
708,1,19,1,26
709,1,29,1,11
710,1,6,1,31
711,1,7,1,18
712,1,31,1,16
713,1,3,1,4
714,1,13,1,14
715,1,18,1,1
716,1,2,1,2
717,1,16,1,25
718,1,14,1,20
719,1,29,1,11
720,1,30,1,9
721,1,7,1,18
722,1,29,1,11
723,1,30,1,9
724,1,7,1,18
725,1,28,1,24
726,1,27,1,21
727,1,27,1,21
728,1,24,1,15
729,1,19,1,26
730,1,26,1,7
731,1,15,1,22
732,1,19,1,26
733,1,16,1,25
734,1,11,1,12
735,1,13,1,14
736,1,2,1,2
737,1,29,1,11
738,1,16,1,25
739,1,17,1,23
740,1,13,1,14
741,1,13,1,14
742,1,1,1,29
743,1,22,1,8
744,1,4,1,28
745,1,17,1,23
746,1,21,1,6
747,1,3,1,4
748,1,31,1,16
749,1,30,1,9
750,1,24,1,15
751,1,4,1,28
752,1,23,1,17
753,1,9,1,13
754,1,7,1,18
755,1,23,1,17
756,1,9,1,13
757,1,4,1,28
758,1,29,1,11
759,1,20,1,3
760,1,17,1,23
761,1,7,1,18
762,1,7,1,18
763,1,2,1,2
764,1,20,1,3
765,1,25,1,19
766,1,13,1,14
767,1,7,1,18
768,1,7,1,18
769,1,4,1,28
770,1,4,1,28
771,1,25,1,19
772,1,7,1,18
773,1,23,1,17
774,1,13,1,14
775,1,25,1,19
776,1,28,1,24
777,1,20,1,3
778,1,8,1,27
779,1,7,1,18
780,1,18,1,1
781,1,7,1,18
782,1,2,1,2
783,1,8,1,27
784,1,29,1,11
785,1,25,1,19
786,1,13,1,14
787,1,6,1,31
788,1,7,1,18
789,1,11,1,12
790,1,22,1,8
791,1,19,1,26
792,1,29,1,11
793,1,25,1,19
794,1,1,1,29
795,1,23,1,17
796,1,31,1,16
797,1,11,1,12
798,1,31,1,16
799,1,18,1,1
800,1,9,1,13
801,1,7,1,18
802,1,18,1,1
803,1,13,1,14
804,1,25,1,19
805,1,24,1,15
806,1,20,1,3
807,1,12,1,10
808,1,22,1,8
809,1,20,1,3
810,1,15,1,22
811,1,13,1,14
812,1,31,1,16
813,1,21,1,6
814,1,5,1,5
815,1,30,1,9
816,1,23,1,17
817,1,4,1,28
818,1,8,1,27
819,1,28,1,24
820,1,22,1,8
821,1,25,1,19
822,1,16,1,25
823,1,19,1,26
824,1,11,1,12
825,1,23,1,17
826,1,14,1,20
827,1,11,1,12
828,1,16,1,25
829,1,11,1,12
830,1,3,1,4
831,1,17,1,23
832,1,27,1,21
833,1,31,1,16
834,1,14,1,20
