"configuracion","mu1_objetivo","mu2_objetivo","misma_micro_objetivo","semilla_inicial","estado_auditoria","detalle_error","nodos_esperados","nodos_grafo","aristas_filas_archivo","aristas_unicas","grado_medio_real","grado_maximo_real","conectado","componentes","lazos_archivo","filas_duplicadas_direccion","cobertura_particiones_ok","anidamiento_micro_macro_ok","microcomunidades","micro_tamano_min","micro_tamano_max","macrocomunidades","macro_tamano_min","macro_tamano_max","mu1_global_real","mu2_global_real","misma_micro_global_real","mu1_media_por_nodo","mu2_media_por_nodo","misma_micro_media_por_nodo"
"mu1_0.05_mu2_0.20",0.05,0.2,0.75,101,"OK","",1000,1000,19824,9912,19.824,50,TRUE,1,0,0,TRUE,TRUE,31,22,55,5,122,257,0.049636803874092,0.200867635189669,0.749495560936239,0.0492986000180666,0.201127898552497,0.749573501429436
"mu1_0.05_mu2_0.20",0.05,0.2,0.75,202,"OK","",1000,1000,19540,9770,19.54,50,TRUE,1,0,0,TRUE,TRUE,26,24,62,5,147,288,0.0509723643807574,0.200307062436029,0.748720573183214,0.0510910343569558,0.200335305586376,0.748573660056668
"mu1_0.05_mu2_0.20",0.05,0.2,0.75,303,"OK","",1000,1000,19444,9722,19.444,50,TRUE,1,0,0,TRUE,TRUE,27,21,58,5,132,288,0.0494754165809504,0.198415963793458,0.752108619625591,0.0496162298511403,0.198172082149919,0.752211687998941
"mu1_0.05_mu2_0.30",0.05,0.3,0.65,101,"OK","",1000,1000,19428,9714,19.428,50,TRUE,1,0,0,TRUE,TRUE,30,21,59,5,122,257,0.050236771669755,0.299773522750669,0.649989705579576,0.0501858523890886,0.300288192227969,0.649525955382942
"mu1_0.05_mu2_0.30",0.05,0.3,0.65,202,"OK","",1000,1000,19704,9852,19.704,50,TRUE,1,0,0,TRUE,TRUE,27,20,62,5,147,288,0.0512586276898092,0.299127080795777,0.649614291514413,0.0522433965285232,0.298440449059765,0.649316154411712
"mu1_0.05_mu2_0.30",0.05,0.3,0.65,303,"OK","",1000,1000,19676,9838,19.676,50,TRUE,1,0,0,TRUE,TRUE,25,21,58,5,132,288,0.0505183980483838,0.300467574710307,0.649014027241309,0.050906945072532,0.300653905047614,0.648439149879854
"mu1_0.05_mu2_0.40",0.05,0.4,0.55,101,"OK","",1000,1000,19576,9788,19.576,49,TRUE,1,0,0,TRUE,TRUE,30,21,52,5,122,257,0.0498569677155701,0.39957090314671,0.55057212913772,0.049479112337593,0.399778036537407,0.550742851125
"mu1_0.05_mu2_0.40",0.05,0.4,0.55,202,"OK","",1000,1000,19616,9808,19.616,50,TRUE,1,0,0,TRUE,TRUE,27,24,58,5,147,288,0.050163132137031,0.400081566068515,0.549755301794454,0.0504116047761276,0.399831644203487,0.549756751020386
"mu1_0.05_mu2_0.40",0.05,0.4,0.55,303,"OK","",1000,1000,19752,9876,19.752,49,TRUE,1,0,0,TRUE,TRUE,26,22,59,5,132,288,0.0507290400972053,0.39823815309842,0.551032806804374,0.0513248890587127,0.398080456257842,0.550594654683445
"mu1_0.10_mu2_0.20",0.1,0.2,0.7,101,"OK","",1000,1000,19314,9657,19.314,50,TRUE,1,0,0,TRUE,TRUE,30,22,48,5,122,257,0.0987884436160298,0.199751475613545,0.701460080770426,0.0984182881920202,0.199072383097927,0.702509328710053
"mu1_0.10_mu2_0.20",0.1,0.2,0.7,202,"OK","",1000,1000,18944,9472,18.944,50,TRUE,1,0,0,TRUE,TRUE,30,20,48,5,147,288,0.100717905405405,0.200696790540541,0.698585304054054,0.100020170905395,0.201153082873773,0.698826746220832
"mu1_0.10_mu2_0.20",0.1,0.2,0.7,303,"OK","",1000,1000,19376,9688,19.376,49,TRUE,1,0,0,TRUE,TRUE,28,22,58,5,132,288,0.100433526011561,0.200041288191577,0.699525185796862,0.10033336459768,0.199957159288028,0.699709476114292
"mu1_0.10_mu2_0.30",0.1,0.3,0.6,101,"OK","",1000,1000,19814,9907,19.814,50,TRUE,1,0,0,TRUE,TRUE,30,21,50,5,122,257,0.0995255879681034,0.300292722317553,0.600181689714343,0.0992619489372677,0.300348906891403,0.600389144171329
"mu1_0.10_mu2_0.30",0.1,0.3,0.6,202,"OK","",1000,1000,19348,9674,19.348,50,TRUE,1,0,0,TRUE,TRUE,28,22,56,5,147,288,0.099235063055613,0.29987595617118,0.600888980773207,0.0991752629652232,0.300293387499666,0.600531349535111
"mu1_0.10_mu2_0.30",0.1,0.3,0.6,303,"OK","",1000,1000,20448,10224,20.448,50,TRUE,1,0,0,TRUE,TRUE,25,24,58,5,132,288,0.0998630672926448,0.300567292644757,0.599569640062598,0.0996060966596892,0.301058766723472,0.599335136616839
"mu1_0.10_mu2_0.40",0.1,0.4,0.5,101,"OK","",1000,1000,19812,9906,19.812,50,TRUE,1,0,0,TRUE,TRUE,29,21,48,5,122,257,0.0996365838885524,0.399757722592368,0.500605693519079,0.0992652149945252,0.399848866272292,0.500885918733183
"mu1_0.10_mu2_0.40",0.1,0.4,0.5,202,"OK","",1000,1000,19120,9560,19.12,50,TRUE,1,0,0,TRUE,TRUE,28,22,62,5,147,288,0.100523012552301,0.4,0.499476987447699,0.100206207454359,0.400669003192497,0.499124789353144
"mu1_0.10_mu2_0.40",0.1,0.4,0.5,303,"OK","",1000,1000,19754,9877,19.754,50,TRUE,1,0,0,TRUE,TRUE,25,25,58,5,132,288,0.0990179204211805,0.399311531841652,0.501670547737167,0.0992021586377236,0.399095641892407,0.501702199469869
"mu1_0.20_mu2_0.20",0.2,0.2,0.6,101,"OK","",1000,1000,19836,9918,19.836,50,TRUE,1,0,0,TRUE,TRUE,31,22,48,5,122,257,0.2005444646098,0.198931236136318,0.600524299253882,0.200203830203639,0.199063445007341,0.60073272478902
"mu1_0.20_mu2_0.20",0.2,0.2,0.6,202,"OK","",1000,1000,20028,10014,20.028,50,TRUE,1,0,0,TRUE,TRUE,28,23,50,5,147,288,0.201517874975035,0.199720391451967,0.598761733572998,0.202094393370913,0.199301202122965,0.598604404506123
"mu1_0.20_mu2_0.20",0.2,0.2,0.6,303,"OK","",1000,1000,19264,9632,19.264,50,TRUE,1,0,0,TRUE,TRUE,26,23,58,5,132,288,0.199127906976744,0.200373754152824,0.600498338870432,0.199029204804257,0.20065117621438,0.600319618981363
"mu1_0.20_mu2_0.30",0.2,0.3,0.5,101,"OK","",1000,1000,19216,9608,19.216,49,TRUE,1,0,0,TRUE,TRUE,31,22,59,5,122,257,0.200978351373855,0.2994379683597,0.499583680266445,0.201183923169905,0.299238162223016,0.499577914607079
"mu1_0.20_mu2_0.30",0.2,0.3,0.5,202,"OK","",1000,1000,19370,9685,19.37,50,TRUE,1,0,0,TRUE,TRUE,28,23,57,5,147,288,0.199586990191017,0.299535363964894,0.500877645844089,0.199811059153412,0.299153517470993,0.501035423375595
"mu1_0.20_mu2_0.30",0.2,0.3,0.5,303,"OK","",1000,1000,19584,9792,19.584,50,TRUE,1,0,0,TRUE,TRUE,28,20,58,5,132,288,0.200674019607843,0.298611111111111,0.500714869281046,0.201109687591903,0.298268836133782,0.500621476274316
"mu1_0.20_mu2_0.40",0.2,0.4,0.4,101,"OK","",1000,1000,19694,9847,19.694,50,TRUE,1,0,0,TRUE,TRUE,31,22,50,5,122,257,0.200162486036356,0.399817203209099,0.400020310754545,0.200343542602075,0.399901005432647,0.399755451965277
"mu1_0.20_mu2_0.40",0.2,0.4,0.4,202,"OK","",1000,1000,19506,9753,19.506,50,TRUE,1,0,0,TRUE,TRUE,26,27,54,5,147,288,0.199323285143033,0.400184558597355,0.400492156259612,0.199971058281796,0.399359632107035,0.400669309611169
"mu1_0.20_mu2_0.40",0.2,0.4,0.4,303,"OK","",1000,1000,19434,9717,19.434,50,TRUE,1,0,0,TRUE,TRUE,27,23,58,5,132,288,0.199238448080683,0.399917670062777,0.40084388185654,0.199016721305728,0.39987450946577,0.401108769228503
