"configuracion","mu1","mu2","fraccion_misma_micro","semilla_inicial","estado","codigo_salida","directorio","error"
"mu1_0.05_mu2_0.20","0.05","0.20","0.75","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.20\seed_101",""
"mu1_0.05_mu2_0.20","0.05","0.20","0.75","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.20\seed_202",""
"mu1_0.05_mu2_0.20","0.05","0.20","0.75","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.20\seed_303",""
"mu1_0.05_mu2_0.30","0.05","0.30","0.65","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.30\seed_101",""
"mu1_0.05_mu2_0.30","0.05","0.30","0.65","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.30\seed_202",""
"mu1_0.05_mu2_0.30","0.05","0.30","0.65","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.30\seed_303",""
"mu1_0.05_mu2_0.40","0.05","0.40","0.55","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.40\seed_101",""
"mu1_0.05_mu2_0.40","0.05","0.40","0.55","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.40\seed_202",""
"mu1_0.05_mu2_0.40","0.05","0.40","0.55","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.05_mu2_0.40\seed_303",""
"mu1_0.10_mu2_0.20","0.10","0.20","0.70","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.20\seed_101",""
"mu1_0.10_mu2_0.20","0.10","0.20","0.70","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.20\seed_202",""
"mu1_0.10_mu2_0.20","0.10","0.20","0.70","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.20\seed_303",""
"mu1_0.10_mu2_0.30","0.10","0.30","0.60","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.30\seed_101",""
"mu1_0.10_mu2_0.30","0.10","0.30","0.60","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.30\seed_202",""
"mu1_0.10_mu2_0.30","0.10","0.30","0.60","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.30\seed_303",""
"mu1_0.10_mu2_0.40","0.10","0.40","0.50","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.40\seed_101",""
"mu1_0.10_mu2_0.40","0.10","0.40","0.50","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.40\seed_202",""
"mu1_0.10_mu2_0.40","0.10","0.40","0.50","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.10_mu2_0.40\seed_303",""
"mu1_0.20_mu2_0.20","0.20","0.20","0.60","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.20\seed_101",""
"mu1_0.20_mu2_0.20","0.20","0.20","0.60","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.20\seed_202",""
"mu1_0.20_mu2_0.20","0.20","0.20","0.60","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.20\seed_303",""
"mu1_0.20_mu2_0.30","0.20","0.30","0.50","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.30\seed_101",""
"mu1_0.20_mu2_0.30","0.20","0.30","0.50","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.30\seed_202",""
"mu1_0.20_mu2_0.30","0.20","0.30","0.50","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.30\seed_303",""
"mu1_0.20_mu2_0.40","0.20","0.40","0.40","101","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.40\seed_101",""
"mu1_0.20_mu2_0.40","0.20","0.40","0.40","202","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.40\seed_202",""
"mu1_0.20_mu2_0.40","0.20","0.40","0.40","303","OK","0","tesis\experimentos\barrido_lfr\piloto\mu1_0.20_mu2_0.40\seed_303",""
