"parametro","valor","descripcion"
"Número de nodos","5000","Cantidad total de nodos de la red"
"Grado promedio","20","Promedio esperado de conexiones por nodo"
"Grado máximo","50","Máximo permitido de conexiones por nodo"
"Tamaño mínimo de microcomunidad","20","Límite inferior para comunidades de menor escala"
"Tamaño máximo de microcomunidad","50","Límite superior para comunidades de menor escala"
"Tamaño mínimo de macrocomunidad","500","Límite inferior para comunidades de nivel superior"
"Tamaño máximo de macrocomunidad","1000","Límite superior para comunidades de nivel superior"
"Mezcla entre macrocomunidades (mu1)","0.05","Proporción de conexiones hacia otras macrocomunidades"
"Mezcla entre microcomunidades (mu2)","0.25","Proporción de conexiones hacia otras microcomunidades del mismo nivel superior"
"Pertenencia comunitaria superpuesta","No","Cada nodo pertenece a una única comunidad en cada nivel"
