"node_id","level_1","level_2","final_module"
1,1,1,1
2,1,2,2
3,1,1,1
4,1,1,1
5,1,3,3
6,1,4,4
7,1,3,3
8,1,2,2
9,1,5,5
10,1,3,3
11,1,2,2
12,1,3,3
13,1,3,3
14,1,6,6
15,1,2,2
16,1,3,3
17,1,1,1
18,1,2,2
19,1,2,2
20,1,6,6
21,1,2,2
22,1,4,4
23,1,3,3
24,1,7,7
25,1,2,2
26,1,6,6
27,1,3,3
28,1,3,3
29,1,2,2
30,1,4,4
31,1,2,2
32,1,7,7
33,1,3,3
34,1,2,2
35,1,2,2
36,1,1,1
37,1,2,2
38,1,1,1
39,1,2,2
40,1,3,3
41,1,2,2
42,1,3,3
43,1,2,2
44,1,1,1
45,1,1,1
46,1,2,2
47,1,3,3
48,1,8,8
49,1,3,3
50,1,2,2
51,1,6,6
52,1,8,8
53,1,1,1
54,1,2,2
55,1,8,8
56,1,6,6
57,1,2,2
58,1,2,2
59,1,1,1
60,1,5,5
61,1,1,1
62,1,2,2
63,1,3,3
64,1,8,8
65,1,3,3
66,1,4,4
67,1,3,3
68,1,3,3
69,1,3,3
70,1,2,2
71,1,3,3
72,1,3,3
73,1,1,1
74,1,1,1
75,1,1,1
76,1,3,3
77,1,3,3
78,1,1,1
79,1,2,2
80,1,6,6
81,1,1,1
