"node_id","membership_original"
1,1
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,3
13,1
14,1
15,1
16,1
17,1
18,1
19,4
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,5
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,6
106,6
107,1
108,6
109,1
110,6
111,1
112,1
113,1
114,1
115,1
116,7
117,8
118,9
119,1
120,6
121,1
122,1
123,1
124,1
125,7
126,1
127,1
128,1
129,6
130,1
131,1
132,1
133,8
134,9
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,10
166,1
167,1
168,1
169,1
170,10
171,1
172,1
173,1
174,1
175,1
176,1
177,11
178,11
179,11
180,11
181,12
182,12
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,13
192,1
193,1
194,1
195,14
196,14
197,14
198,1
199,14
200,1
201,1
202,1
203,14
204,14
205,14
206,12
207,15
208,15
209,15
210,15
211,16
212,17
213,16
214,18
215,18
216,18
217,18
218,19
219,16
220,18
221,20
222,20
223,20
224,16
225,18
226,18
227,16
228,18
229,20
230,21
231,21
232,21
233,21
234,21
235,21
236,21
237,21
238,21
239,21
240,21
241,21
242,21
243,21
244,21
245,21
246,21
247,22
248,22
249,22
250,22
251,22
252,22
253,22
254,22
255,18
256,17
257,17
258,23
259,23
260,23
261,17
262,23
263,23
264,18
265,18
266,18
267,18
268,18
269,18
270,18
271,18
272,18
273,18
274,18
275,18
276,18
277,18
278,24
279,18
280,17
281,18
282,18
283,18
284,19
285,19
286,19
287,19
288,19
289,19
290,19
291,19
292,19
293,19
294,19
295,19
296,19
297,19
298,19
299,19
300,19
301,19
302,19
303,19
304,19
305,19
306,19
307,25
308,19
309,19
310,19
311,26
312,17
313,16
314,2
315,25
316,19
317,2
318,18
319,19
320,27
321,2
322,17
323,17
324,17
325,20
326,20
327,20
328,27
329,27
330,27
331,20
332,27
333,27
334,20
335,20
336,20
337,27
338,20
339,20
340,27
341,27
342,27
343,27
344,27
345,27
346,27
347,27
348,20
349,27
350,18
351,18
352,18
353,18
354,18
355,28
356,18
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,2
371,1
372,1
373,12
374,22
375,12
376,1
377,12
378,2
379,1
380,1
381,1
382,15
383,19
384,29
385,25
386,19
387,2
388,29
389,19
390,25
391,25
392,26
393,25
394,25
395,19
396,29
397,19
398,19
399,19
400,19
401,25
402,19
403,25
404,16
405,17
406,19
407,17
408,12
409,12
410,12
411,12
412,22
413,22
414,22
415,22
416,22
417,22
418,22
419,22
420,22
421,22
422,22
423,30
424,29
425,29
426,26
427,26
428,30
429,29
430,26
431,26
432,26
433,29
434,30
435,26
436,29
437,26
438,29
439,26
440,29
441,2
442,2
443,26
444,26
445,28
446,28
447,24
448,24
449,24
450,24
451,30
452,30
453,30
454,30
455,12
456,12
457,12
458,12
459,12
460,1
461,1
462,1
463,31
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,32
472,1
473,1
474,33
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,32
492,1
493,34
494,35
495,1
496,1
497,1
498,1
499,1
500,1
501,5
502,1
503,1
504,1
505,36
506,1
507,1
508,37
509,1
510,1
511,34
512,37
513,1
514,1
515,3
516,3
517,3
518,1
519,1
520,1
521,1
522,38
523,38
524,14
525,38
526,14
527,1
528,1
529,14
530,1
531,1
532,34
533,31
534,39
535,1
536,1
537,39
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,40
548,1
549,41
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,39
563,1
564,40
565,1
566,1
567,1
568,1
569,1
570,1
571,41
572,42
573,42
574,42
575,42
576,42
577,42
578,43
579,44
580,40
581,43
582,44
583,44
584,1
585,40
586,36
587,40
588,43
589,44
590,44
591,36
592,40
593,31
594,43
595,43
596,31
597,36
598,44
599,40
600,45
