"node_id","level_1","level_2","level_3","final_module"
1,1,1,1,1
2,1,1,1,1
3,1,2,2,2
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,3,3
13,1,1,1,1
14,1,1,1,1
15,1,1,1,1
16,1,1,1,1
17,1,1,1,1
18,1,1,1,1
19,1,1,4,4
20,1,1,1,1
21,1,1,1,1
22,1,1,1,1
23,1,1,1,1
24,1,1,1,1
25,1,1,1,1
26,1,1,1,1
27,1,1,1,1
28,1,1,1,1
29,1,1,1,1
30,1,1,1,1
31,1,1,1,1
32,1,1,1,1
33,1,1,1,1
34,1,1,1,1
35,1,1,1,1
36,1,1,1,1
37,1,1,1,1
38,1,1,1,1
39,1,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,1,1,1,1
50,1,1,1,1
51,1,1,5,5
52,1,1,1,1
53,1,1,1,1
54,1,1,1,1
55,1,1,1,1
56,1,1,1,1
57,1,1,1,1
58,1,1,1,1
59,1,1,1,1
60,1,1,1,1
61,1,1,1,1
62,1,1,1,1
63,1,1,1,1
64,1,1,1,1
65,1,1,1,1
66,1,1,1,1
67,1,1,1,1
68,1,1,1,1
69,1,1,1,1
70,1,1,1,1
71,1,1,1,1
72,1,1,1,1
73,1,1,1,1
74,1,1,1,1
75,1,1,1,1
76,1,1,1,1
77,1,1,1,1
78,1,1,1,1
79,1,1,1,1
80,1,1,1,1
81,1,1,1,1
82,1,1,1,1
83,1,1,1,1
84,1,1,1,1
85,1,1,1,1
86,1,1,1,1
87,1,1,1,1
88,1,1,1,1
89,1,1,1,1
90,1,1,1,1
91,1,1,1,1
92,1,1,1,1
93,1,1,1,1
94,1,1,1,1
95,1,1,1,1
96,1,1,1,1
97,1,1,1,1
98,1,1,1,1
99,1,1,1,1
100,1,1,1,1
101,1,1,1,1
102,1,1,1,1
103,1,1,1,1
104,1,1,1,1
105,1,1,6,6
106,1,1,6,6
107,1,1,1,1
108,1,1,6,6
109,1,1,1,1
110,1,1,6,6
111,1,1,1,1
112,1,1,1,1
113,1,1,1,1
114,1,1,1,1
115,1,1,1,1
116,1,1,7,7
117,1,1,8,8
118,1,1,9,9
119,1,1,1,1
120,1,1,6,6
121,1,1,1,1
122,1,1,1,1
123,1,1,1,1
124,1,1,1,1
125,1,1,7,7
126,1,1,1,1
127,1,1,1,1
128,1,1,1,1
129,1,1,6,6
130,1,1,1,1
131,1,1,1,1
132,1,1,1,1
133,1,1,8,8
134,1,1,9,9
135,1,1,1,1
136,1,1,1,1
137,1,1,1,1
138,1,1,1,1
139,1,1,1,1
140,1,1,1,1
141,1,1,1,1
142,1,1,1,1
143,1,1,1,1
144,1,1,1,1
145,1,1,1,1
146,1,1,1,1
147,1,1,1,1
148,1,1,1,1
149,1,1,1,1
150,1,1,1,1
151,1,1,1,1
152,1,1,1,1
153,1,1,1,1
154,1,1,1,1
155,1,1,1,1
156,1,1,1,1
157,1,1,1,1
158,1,1,1,1
159,1,1,1,1
160,1,1,1,1
161,1,1,1,1
162,1,1,1,1
163,1,1,1,1
164,1,1,1,1
165,1,1,10,10
166,1,1,1,1
167,1,1,1,1
168,1,1,1,1
169,1,1,1,1
170,1,1,10,10
171,1,1,1,1
172,1,1,1,1
173,1,1,1,1
174,1,1,1,1
175,1,1,1,1
176,1,1,1,1
177,1,1,11,11
178,1,1,11,11
179,1,1,11,11
180,1,1,11,11
181,1,3,12,12
182,1,3,12,12
183,1,1,1,1
184,1,1,1,1
185,1,1,1,1
186,1,1,1,1
187,1,1,1,1
188,1,1,1,1
189,1,1,1,1
190,1,1,1,1
191,1,1,13,13
192,1,1,1,1
193,1,1,1,1
194,1,1,1,1
195,1,1,14,14
196,1,1,14,14
197,1,1,14,14
198,1,1,1,1
199,1,1,14,14
200,1,1,1,1
201,1,1,1,1
202,1,1,1,1
203,1,1,14,14
204,1,1,14,14
205,1,1,14,14
206,1,3,12,12
207,1,2,15,15
208,1,2,15,15
209,1,2,15,15
210,1,2,15,15
211,1,2,16,16
212,1,4,17,17
213,1,2,16,16
214,1,2,18,18
215,1,2,18,18
216,1,2,18,18
217,1,2,18,18
218,1,4,19,19
219,1,2,16,16
220,1,2,18,18
221,1,2,20,20
222,1,2,20,20
223,1,2,20,20
224,1,2,16,16
225,1,2,18,18
226,1,2,18,18
227,1,2,16,16
228,1,2,18,18
229,1,2,20,20
230,1,2,21,21
231,1,2,21,21
232,1,2,21,21
233,1,2,21,21
234,1,2,21,21
235,1,2,21,21
236,1,2,21,21
237,1,2,21,21
238,1,2,21,21
239,1,2,21,21
240,1,2,21,21
241,1,2,21,21
242,1,2,21,21
243,1,2,21,21
244,1,2,21,21
245,1,2,21,21
246,1,2,21,21
247,1,3,22,22
248,1,3,22,22
249,1,3,22,22
250,1,3,22,22
251,1,3,22,22
252,1,3,22,22
253,1,3,22,22
254,1,3,22,22
255,1,2,18,18
256,1,4,17,17
257,1,4,17,17
258,1,4,23,23
259,1,4,23,23
260,1,4,23,23
261,1,4,17,17
262,1,4,23,23
263,1,4,23,23
264,1,2,18,18
265,1,2,18,18
266,1,2,18,18
267,1,2,18,18
268,1,2,18,18
269,1,2,18,18
270,1,2,18,18
271,1,2,18,18
272,1,2,18,18
273,1,2,18,18
274,1,2,18,18
275,1,2,18,18
276,1,2,18,18
277,1,2,18,18
278,1,2,24,24
279,1,2,18,18
280,1,4,17,17
281,1,2,18,18
282,1,2,18,18
283,1,2,18,18
284,1,4,19,19
285,1,4,19,19
286,1,4,19,19
287,1,4,19,19
288,1,4,19,19
289,1,4,19,19
290,1,4,19,19
291,1,4,19,19
292,1,4,19,19
293,1,4,19,19
294,1,4,19,19
295,1,4,19,19
296,1,4,19,19
297,1,4,19,19
298,1,4,19,19
299,1,4,19,19
300,1,4,19,19
301,1,4,19,19
302,1,4,19,19
303,1,4,19,19
304,1,4,19,19
305,1,4,19,19
306,1,4,19,19
307,1,5,25,25
308,1,4,19,19
309,1,4,19,19
310,1,4,19,19
311,1,5,26,26
312,1,4,17,17
313,1,2,16,16
314,1,2,2,2
315,1,5,25,25
316,1,4,19,19
317,1,2,2,2
318,1,2,18,18
319,1,4,19,19
320,1,2,27,27
321,1,2,2,2
322,1,4,17,17
323,1,4,17,17
324,1,4,17,17
325,1,2,20,20
326,1,2,20,20
327,1,2,20,20
328,1,2,27,27
329,1,2,27,27
330,1,2,27,27
331,1,2,20,20
332,1,2,27,27
333,1,2,27,27
334,1,2,20,20
335,1,2,20,20
336,1,2,20,20
337,1,2,27,27
338,1,2,20,20
339,1,2,20,20
340,1,2,27,27
341,1,2,27,27
342,1,2,27,27
343,1,2,27,27
344,1,2,27,27
345,1,2,27,27
346,1,2,27,27
347,1,2,27,27
348,1,2,20,20
349,1,2,27,27
350,1,2,18,18
351,1,2,18,18
352,1,2,18,18
353,1,2,18,18
354,1,2,18,18
355,1,2,28,28
356,1,2,18,18
357,1,1,1,1
358,1,1,1,1
359,1,1,1,1
360,1,1,1,1
361,1,1,1,1
362,1,1,1,1
363,1,1,1,1
364,1,1,1,1
365,1,1,1,1
366,1,1,1,1
367,1,1,1,1
368,1,1,1,1
369,1,1,1,1
370,1,2,2,2
371,1,1,1,1
372,1,1,1,1
373,1,3,12,12
374,1,3,22,22
375,1,3,12,12
376,1,1,1,1
377,1,3,12,12
378,1,2,2,2
379,1,1,1,1
380,1,1,1,1
381,1,1,1,1
382,1,2,15,15
383,1,4,19,19
384,1,2,29,29
385,1,5,25,25
386,1,4,19,19
387,1,2,2,2
388,1,2,29,29
389,1,4,19,19
390,1,5,25,25
391,1,5,25,25
392,1,5,26,26
393,1,5,25,25
394,1,5,25,25
395,1,4,19,19
396,1,2,29,29
397,1,4,19,19
398,1,4,19,19
399,1,4,19,19
400,1,4,19,19
401,1,5,25,25
402,1,4,19,19
403,1,5,25,25
404,1,2,16,16
405,1,4,17,17
406,1,4,19,19
407,1,4,17,17
408,1,3,12,12
409,1,3,12,12
410,1,3,12,12
411,1,3,12,12
412,1,3,22,22
413,1,3,22,22
414,1,3,22,22
415,1,3,22,22
416,1,3,22,22
417,1,3,22,22
418,1,3,22,22
419,1,3,22,22
420,1,3,22,22
421,1,3,22,22
422,1,3,22,22
423,1,5,30,30
424,1,2,29,29
425,1,2,29,29
426,1,5,26,26
427,1,5,26,26
428,1,5,30,30
429,1,2,29,29
430,1,5,26,26
431,1,5,26,26
432,1,5,26,26
433,1,2,29,29
434,1,5,30,30
435,1,5,26,26
436,1,2,29,29
437,1,5,26,26
438,1,2,29,29
439,1,5,26,26
440,1,2,29,29
441,1,2,2,2
442,1,2,2,2
443,1,5,26,26
444,1,5,26,26
445,1,2,28,28
446,1,2,28,28
447,1,2,24,24
448,1,2,24,24
449,1,2,24,24
450,1,2,24,24
451,1,5,30,30
452,1,5,30,30
453,1,5,30,30
454,1,5,30,30
455,1,3,12,12
456,1,3,12,12
457,1,3,12,12
458,1,3,12,12
459,1,3,12,12
460,1,1,1,1
461,1,1,1,1
462,1,1,1,1
463,1,1,31,31
464,1,1,1,1
465,1,1,1,1
466,1,1,1,1
467,1,1,1,1
468,1,1,1,1
469,1,1,1,1
470,1,1,1,1
471,1,1,32,32
472,1,1,1,1
473,1,1,1,1
474,1,1,33,33
475,1,1,1,1
476,1,1,1,1
477,1,1,1,1
478,1,1,1,1
479,1,1,1,1
480,1,1,1,1
481,1,1,1,1
482,1,1,1,1
483,1,1,1,1
484,1,1,1,1
485,1,1,1,1
486,1,1,1,1
487,1,1,1,1
488,1,1,1,1
489,1,1,1,1
490,1,1,1,1
491,1,1,32,32
492,1,1,1,1
493,1,1,34,34
494,1,1,35,35
495,1,1,1,1
496,1,1,1,1
497,1,1,1,1
498,1,1,1,1
499,1,1,1,1
500,1,1,1,1
501,1,1,5,5
502,1,1,1,1
503,1,1,1,1
504,1,1,1,1
505,1,1,36,36
506,1,1,1,1
507,1,1,1,1
508,1,1,37,37
509,1,1,1,1
510,1,1,1,1
511,1,1,34,34
512,1,1,37,37
513,1,1,1,1
514,1,1,1,1
515,1,1,3,3
516,1,1,3,3
517,1,1,3,3
518,1,1,1,1
519,1,1,1,1
520,1,1,1,1
521,1,1,1,1
522,1,1,38,38
523,1,1,38,38
524,1,1,14,14
525,1,1,38,38
526,1,1,14,14
527,1,1,1,1
528,1,1,1,1
529,1,1,14,14
530,1,1,1,1
531,1,1,1,1
532,1,1,34,34
533,1,1,31,31
534,1,1,39,39
535,1,1,1,1
536,1,1,1,1
537,1,1,39,39
538,1,1,1,1
539,1,1,1,1
540,1,1,1,1
541,1,1,1,1
542,1,1,1,1
543,1,1,1,1
544,1,1,1,1
545,1,1,1,1
546,1,1,1,1
547,1,1,40,40
548,1,1,1,1
549,1,1,41,41
550,1,1,1,1
551,1,1,1,1
552,1,1,1,1
553,1,1,1,1
554,1,1,1,1
555,1,1,1,1
556,1,1,1,1
557,1,1,1,1
558,1,1,1,1
559,1,1,1,1
560,1,1,1,1
561,1,1,1,1
562,1,1,39,39
563,1,1,1,1
564,1,1,40,40
565,1,1,1,1
566,1,1,1,1
567,1,1,1,1
568,1,1,1,1
569,1,1,1,1
570,1,1,1,1
571,1,1,41,41
572,1,1,42,42
573,1,1,42,42
574,1,1,42,42
575,1,1,42,42
576,1,1,42,42
577,1,1,42,42
578,1,1,43,43
579,1,1,44,44
580,1,1,40,40
581,1,1,43,43
582,1,1,44,44
583,1,1,44,44
584,1,1,1,1
585,1,1,40,40
586,1,1,36,36
587,1,1,40,40
588,1,1,43,43
589,1,1,44,44
590,1,1,44,44
591,1,1,36,36
592,1,1,40,40
593,1,1,31,31
594,1,1,43,43
595,1,1,43,43
596,1,1,31,31
597,1,1,36,36
598,1,1,44,44
599,1,1,40,40
600,1,1,45,45
601,1,1,1,1
602,1,1,43,43
603,1,1,36,36
604,1,1,31,31
605,1,1,1,1
606,1,1,1,1
607,1,1,43,43
608,1,1,40,40
609,1,1,31,31
610,1,1,43,43
611,1,1,44,44
612,1,1,36,36
613,1,1,45,45
614,1,1,31,31
615,1,1,40,40
616,1,1,40,40
617,1,1,42,42
618,1,1,1,1
619,1,1,1,1
620,1,1,1,1
621,1,1,1,1
622,1,1,1,1
623,1,1,31,31
624,1,1,1,1
625,1,1,1,1
626,1,1,1,1
627,1,1,1,1
628,1,1,1,1
629,1,1,1,1
630,1,1,1,1
631,1,1,1,1
632,1,1,1,1
633,1,1,1,1
634,1,1,1,1
635,1,1,1,1
636,1,1,1,1
637,1,1,1,1
638,1,1,13,13
639,1,1,13,13
640,1,1,1,1
641,1,1,1,1
642,1,1,1,1
643,1,1,1,1
644,1,1,1,1
645,1,1,1,1
646,1,1,1,1
647,1,1,1,1
648,1,1,3,3
649,1,1,3,3
650,1,1,3,3
651,1,1,3,3
652,1,1,3,3
653,1,1,3,3
654,1,1,3,3
655,1,1,1,1
656,1,1,46,46
657,1,1,46,46
658,1,1,1,1
659,1,1,1,1
660,1,1,1,1
661,1,1,1,1
662,1,1,1,1
663,1,1,1,1
664,1,1,33,33
665,1,1,47,47
666,1,1,1,1
667,1,1,48,48
668,1,1,47,47
669,1,1,48,48
670,1,1,33,33
671,1,1,1,1
672,1,1,1,1
673,1,1,1,1
674,1,1,1,1
675,1,1,10,10
676,1,1,48,48
677,1,1,49,49
678,1,1,5,5
679,1,1,5,5
680,1,1,5,5
681,1,1,5,5
682,1,1,5,5
683,1,1,5,5
684,1,1,49,49
685,1,1,50,50
686,1,1,5,5
687,1,1,35,35
688,1,1,5,5
689,1,1,5,5
690,1,1,42,42
691,1,1,42,42
692,1,1,1,1
693,1,1,1,1
694,1,1,1,1
695,1,1,1,1
696,1,1,1,1
697,1,1,34,34
698,1,1,1,1
699,1,1,1,1
700,1,1,34,34
701,1,1,1,1
702,1,1,1,1
703,1,1,1,1
704,1,1,51,51
705,1,1,51,51
706,1,1,1,1
707,1,1,1,1
708,1,1,1,1
709,1,1,51,51
710,1,1,1,1
711,1,1,1,1
712,1,1,1,1
713,1,1,49,49
714,1,1,10,10
715,1,1,49,49
716,1,1,1,1
717,1,1,1,1
718,1,1,1,1
719,1,1,1,1
720,1,1,1,1
721,1,1,1,1
722,1,1,1,1
723,1,1,1,1
724,1,1,1,1
725,1,1,1,1
726,1,1,1,1
727,1,1,14,14
728,1,1,1,1
729,1,1,52,52
730,1,1,52,52
731,1,1,1,1
732,1,1,1,1
733,1,1,1,1
734,1,1,1,1
735,1,1,1,1
736,1,1,1,1
737,1,1,1,1
738,1,1,14,14
739,1,1,13,13
740,1,1,13,13
741,1,1,4,4
742,1,4,23,23
743,1,5,26,26
744,1,1,5,5
745,1,1,50,50
