"node_id","truth_micro","truth_macro","modified_top","modified_final","modified_top_source","official_top","official_final"
1,1,1,1,1,"level_2",3,16
2,4,1,1,2,"level_2",3,19
3,4,1,1,2,"level_2",3,19
4,2,1,1,3,"level_2",3,18
5,4,1,1,2,"level_2",3,19
6,3,1,1,4,"level_2",3,17
7,3,1,1,4,"level_2",3,17
8,2,1,1,3,"level_2",3,18
9,1,1,1,1,"level_2",3,16
10,4,1,1,2,"level_2",3,19
11,4,1,1,2,"level_2",3,19
12,1,1,1,1,"level_2",3,16
13,1,1,1,1,"level_2",3,16
14,4,1,1,2,"level_2",3,19
15,2,1,1,3,"level_2",3,18
16,3,1,1,4,"level_2",3,17
17,2,1,1,3,"level_2",3,18
18,3,1,1,4,"level_2",3,17
19,2,1,1,3,"level_2",3,18
20,4,1,1,2,"level_2",3,19
21,2,1,1,3,"level_2",3,18
22,1,1,1,1,"level_2",3,16
23,1,1,1,1,"level_2",3,16
24,1,1,1,1,"level_2",3,16
25,1,1,1,1,"level_2",3,16
26,4,1,1,2,"level_2",3,19
27,1,1,1,1,"level_2",3,16
28,4,1,1,2,"level_2",3,19
29,3,1,1,4,"level_2",3,17
30,2,1,1,3,"level_2",3,18
31,1,1,1,1,"level_2",3,16
32,2,1,1,3,"level_2",3,18
33,2,1,1,3,"level_2",3,18
34,4,1,1,2,"level_2",3,19
35,3,1,1,4,"level_2",3,17
36,1,1,1,1,"level_2",3,16
37,1,1,1,1,"level_2",3,16
38,3,1,1,4,"level_2",3,17
39,3,1,1,4,"level_2",3,17
40,4,1,1,2,"level_2",3,19
41,4,1,1,2,"level_2",3,19
42,2,1,1,3,"level_2",3,18
43,2,1,1,3,"level_2",3,18
44,4,1,1,2,"level_2",3,19
45,2,1,1,3,"level_2",3,18
46,3,1,1,4,"level_2",3,17
47,1,1,1,1,"level_2",3,16
48,4,1,1,2,"level_2",3,19
49,1,1,1,1,"level_2",3,16
50,2,1,1,3,"level_2",3,18
51,2,1,1,3,"level_2",3,18
52,2,1,1,3,"level_2",3,18
53,3,1,1,4,"level_2",3,17
54,3,1,1,4,"level_2",3,17
55,3,1,1,4,"level_2",3,17
56,1,1,1,1,"level_2",3,16
57,2,1,1,3,"level_2",3,18
58,1,1,1,1,"level_2",3,16
59,3,1,1,4,"level_2",3,17
60,1,1,1,1,"level_2",3,16
61,4,1,1,2,"level_2",3,19
62,1,1,1,1,"level_2",3,16
63,4,1,1,2,"level_2",3,19
64,4,1,1,2,"level_2",3,19
65,1,1,1,1,"level_2",3,16
66,1,1,1,1,"level_2",3,16
67,1,1,1,1,"level_2",3,16
68,1,1,1,1,"level_2",3,16
69,2,1,1,3,"level_2",3,18
70,1,1,1,1,"level_2",3,16
71,1,1,1,1,"level_2",3,16
72,2,1,1,3,"level_2",3,18
73,4,1,1,2,"level_2",3,19
74,1,1,1,1,"level_2",3,16
75,2,1,1,3,"level_2",3,18
76,3,1,1,4,"level_2",3,17
77,3,1,1,4,"level_2",3,17
78,2,1,1,3,"level_2",3,18
79,1,1,1,1,"level_2",3,16
80,4,1,1,2,"level_2",3,19
81,2,1,1,3,"level_2",3,18
82,1,1,1,1,"level_2",3,16
83,2,1,1,3,"level_2",3,18
84,1,1,1,1,"level_2",3,16
85,2,1,1,3,"level_2",3,18
86,3,1,1,4,"level_2",3,17
87,4,1,1,2,"level_2",3,19
88,1,1,1,1,"level_2",3,16
89,2,1,1,3,"level_2",3,18
90,2,1,1,3,"level_2",3,18
91,4,1,1,2,"level_2",3,19
92,2,1,1,3,"level_2",3,18
93,1,1,1,1,"level_2",3,16
94,1,1,1,1,"level_2",3,16
95,3,1,1,4,"level_2",3,17
96,3,1,1,4,"level_2",3,17
97,1,1,1,1,"level_2",3,16
98,4,1,1,2,"level_2",3,19
99,1,1,1,1,"level_2",3,16
100,1,1,1,1,"level_2",3,16
101,1,1,1,1,"level_2",3,16
102,3,1,1,4,"level_2",3,17
103,4,1,1,2,"level_2",3,19
104,1,1,1,1,"level_2",3,16
105,3,1,1,4,"level_2",3,17
106,4,1,1,2,"level_2",3,19
107,2,1,1,3,"level_2",3,18
108,3,1,1,4,"level_2",3,17
109,4,1,1,2,"level_2",3,19
110,1,1,1,1,"level_2",3,16
111,4,1,1,2,"level_2",3,19
112,1,1,1,1,"level_2",3,16
113,1,1,1,1,"level_2",3,16
114,3,1,1,4,"level_2",3,17
115,2,1,1,3,"level_2",3,18
116,1,1,1,1,"level_2",3,16
117,4,1,1,2,"level_2",3,19
118,3,1,1,4,"level_2",3,17
119,2,1,1,3,"level_2",3,18
120,1,1,1,1,"level_2",3,16
121,4,1,1,2,"level_2",3,19
122,4,1,1,2,"level_2",3,19
123,4,1,1,2,"level_2",3,19
124,4,1,1,2,"level_2",3,19
125,3,1,1,4,"level_2",3,17
126,1,1,1,1,"level_2",3,16
127,2,1,1,3,"level_2",3,18
128,4,1,1,2,"level_2",3,19
129,1,1,1,1,"level_2",3,16
130,3,1,1,4,"level_2",3,17
131,3,1,1,4,"level_2",3,17
132,4,1,1,2,"level_2",3,19
133,1,1,1,1,"level_2",3,16
134,3,1,1,4,"level_2",3,17
135,1,1,1,1,"level_2",3,16
136,3,1,1,4,"level_2",3,17
137,4,1,1,2,"level_2",3,19
138,2,1,1,3,"level_2",3,18
139,1,1,1,1,"level_2",3,16
140,3,1,1,4,"level_2",3,17
141,1,1,1,1,"level_2",3,16
142,2,1,1,3,"level_2",3,18
143,3,1,1,4,"level_2",3,17
144,3,1,1,4,"level_2",3,17
145,4,1,1,2,"level_2",3,19
146,2,1,1,3,"level_2",3,18
147,4,1,1,2,"level_2",3,19
148,2,1,1,3,"level_2",3,18
149,3,1,1,4,"level_2",3,17
150,1,1,1,1,"level_2",3,16
151,2,1,1,3,"level_2",3,18
152,3,1,1,4,"level_2",3,17
153,1,1,1,1,"level_2",3,16
154,1,1,1,1,"level_2",3,16
155,2,1,1,3,"level_2",3,18
156,3,1,1,4,"level_2",3,17
157,3,1,1,4,"level_2",3,17
158,1,1,1,1,"level_2",3,16
159,2,1,1,3,"level_2",3,18
160,3,1,1,4,"level_2",3,17
161,3,1,1,4,"level_2",3,17
162,1,1,1,1,"level_2",3,16
163,4,1,1,2,"level_2",3,19
164,2,1,1,3,"level_2",3,18
165,4,1,1,2,"level_2",3,19
166,1,1,1,1,"level_2",3,16
167,2,1,1,3,"level_2",3,18
168,1,1,1,1,"level_2",3,16
169,1,1,1,1,"level_2",3,16
170,2,1,1,3,"level_2",3,18
171,3,1,1,4,"level_2",3,17
172,3,1,1,4,"level_2",3,17
173,2,1,1,3,"level_2",3,18
174,4,1,1,2,"level_2",3,19
175,1,1,1,1,"level_2",3,16
176,1,1,1,1,"level_2",3,16
177,4,1,1,2,"level_2",3,19
178,3,1,1,4,"level_2",3,17
179,1,1,1,1,"level_2",3,16
180,3,1,1,4,"level_2",3,17
181,2,1,1,3,"level_2",3,18
182,2,1,1,3,"level_2",3,18
183,3,1,1,4,"level_2",3,17
184,2,1,1,3,"level_2",3,18
185,5,2,2,5,"level_2",4,23
186,7,2,2,6,"level_2",4,20
187,7,2,2,6,"level_2",4,20
188,7,2,2,6,"level_2",4,20
189,6,2,2,7,"level_2",4,21
190,6,2,2,7,"level_2",4,21
191,6,2,2,7,"level_2",4,21
192,8,2,2,8,"level_2",4,24
193,6,2,2,7,"level_2",4,21
194,7,2,2,6,"level_2",4,20
195,6,2,2,7,"level_2",4,21
196,5,2,2,5,"level_2",4,23
197,8,2,2,8,"level_2",4,24
198,8,2,2,8,"level_2",4,24
199,9,2,2,9,"level_2",4,22
200,7,2,2,6,"level_2",4,20
201,5,2,2,5,"level_2",4,23
202,8,2,2,8,"level_2",4,24
203,6,2,2,7,"level_2",4,21
204,5,2,2,5,"level_2",4,23
205,8,2,2,8,"level_2",4,24
206,5,2,2,5,"level_2",4,23
207,5,2,2,5,"level_2",4,23
208,7,2,2,6,"level_2",4,20
209,9,2,2,9,"level_2",4,22
210,5,2,2,5,"level_2",4,23
211,6,2,2,7,"level_2",4,21
212,5,2,2,5,"level_2",4,23
213,9,2,2,9,"level_2",4,22
214,5,2,2,5,"level_2",4,23
215,9,2,2,9,"level_2",4,22
216,7,2,2,6,"level_2",4,20
217,9,2,2,9,"level_2",4,22
218,8,2,2,8,"level_2",4,24
219,7,2,2,6,"level_2",4,20
220,9,2,2,9,"level_2",4,22
221,7,2,2,6,"level_2",4,20
222,9,2,2,9,"level_2",4,22
223,6,2,2,7,"level_2",4,21
224,9,2,2,9,"level_2",4,22
225,6,2,2,7,"level_2",4,21
226,6,2,2,7,"level_2",4,21
227,9,2,2,9,"level_2",4,22
228,7,2,2,6,"level_2",4,20
229,9,2,2,9,"level_2",4,22
230,7,2,2,6,"level_2",4,20
231,8,2,2,8,"level_2",4,24
232,9,2,2,9,"level_2",4,22
233,6,2,2,7,"level_2",4,21
234,9,2,2,9,"level_2",4,22
235,6,2,2,7,"level_2",4,21
236,9,2,2,9,"level_2",4,22
237,8,2,2,8,"level_2",4,24
238,6,2,2,7,"level_2",4,21
239,9,2,2,9,"level_2",4,22
240,7,2,2,6,"level_2",4,20
241,5,2,2,5,"level_2",4,23
242,9,2,2,9,"level_2",4,22
243,7,2,2,6,"level_2",4,20
244,5,2,2,5,"level_2",4,23
245,8,2,2,8,"level_2",4,24
246,7,2,2,6,"level_2",4,20
247,6,2,2,7,"level_2",4,21
248,9,2,2,9,"level_2",4,22
249,5,2,2,5,"level_2",4,23
250,5,2,2,5,"level_2",4,23
251,9,2,2,9,"level_2",4,22
252,7,2,2,6,"level_2",4,20
253,8,2,2,8,"level_2",4,24
254,7,2,2,6,"level_2",4,20
