"configuracion","mu1","mu2","misma_micro","semilla_red","semilla_algoritmo","ensayos","nodos","aristas","microcomunidades_reales","macrocomunidades_reales","tiempo_modificado_seg","tiempo_oficial_seg","codelength_modificado","codelength_oficial","num_levels_modificado","max_tree_depth_modificado","num_top_modules_modificado","num_levels_oficial","max_tree_depth_oficial","num_top_modules_oficial","status","error","modified_top_vs_truth_macro_nodes","modified_top_vs_truth_macro_communities_a","modified_top_vs_truth_macro_communities_b","modified_top_vs_truth_macro_exact","modified_top_vs_truth_macro_nmi","modified_top_vs_truth_macro_ari","modified_final_vs_truth_micro_nodes","modified_final_vs_truth_micro_communities_a","modified_final_vs_truth_micro_communities_b","modified_final_vs_truth_micro_exact","modified_final_vs_truth_micro_nmi","modified_final_vs_truth_micro_ari","official_top_vs_truth_macro_nodes","official_top_vs_truth_macro_communities_a","official_top_vs_truth_macro_communities_b","official_top_vs_truth_macro_exact","official_top_vs_truth_macro_nmi","official_top_vs_truth_macro_ari","official_final_vs_truth_micro_nodes","official_final_vs_truth_micro_communities_a","official_final_vs_truth_micro_communities_b","official_final_vs_truth_micro_exact","official_final_vs_truth_micro_nmi","official_final_vs_truth_micro_ari","modified_top_vs_official_top_nodes","modified_top_vs_official_top_communities_a","modified_top_vs_official_top_communities_b","modified_top_vs_official_top_exact","modified_top_vs_official_top_nmi","modified_top_vs_official_top_ari","modified_final_vs_official_final_nodes","modified_final_vs_official_final_communities_a","modified_final_vs_official_final_communities_b","modified_final_vs_official_final_exact","modified_final_vs_official_final_nmi","modified_final_vs_official_final_ari"
"mu1_0.05_mu2_0.20",0.05,0.2,0.75,101,101,100,1000,9912,31,5,2.7,7.3,7.85131315400122,6.81805442040601,4,3,5,3,3,5,"OK","",1000,5,5,TRUE,1,1,1000,31,31,TRUE,1,0.999999999999998,1000,5,5,TRUE,1,1,1000,31,31,TRUE,1,0.999999999999998,1000,5,5,TRUE,1,1,1000,31,31,TRUE,1,0.999999999999998
"mu1_0.05_mu2_0.20",0.05,0.2,0.75,202,202,100,1000,9770,26,5,1.89,7,7.99453435482183,6.9853721132281,4,3,5,3,3,5,"OK","",1000,5,5,TRUE,1,1,1000,26,26,TRUE,1,1,1000,5,5,TRUE,1,1,1000,26,26,TRUE,1,1,1000,5,5,TRUE,1,1,1000,26,26,TRUE,1,1
"mu1_0.05_mu2_0.20",0.05,0.2,0.75,303,303,100,1000,9722,27,5,1.91,6.76,7.94583416967829,6.92990929381586,4,3,4,3,3,5,"OK","",1000,4,5,FALSE,0.909278220096146,0.799989695878525,1000,25,27,FALSE,0.977591356787988,0.86474111663679,1000,5,5,TRUE,1,1,1000,27,27,TRUE,1,0.999999999999998,1000,4,5,FALSE,0.909278220096146,0.799989695878525,1000,25,27,FALSE,0.977591356787988,0.86474111663679
"mu1_0.05_mu2_0.30",0.05,0.3,0.65,101,101,100,1000,9714,30,5,2.24,7.98,8.35773130935476,7.33811635810546,4,3,4,3,3,12,"OK","",1000,4,5,FALSE,0.927048171969485,0.863554596258322,1000,23,30,FALSE,0.922823660632768,0.600736197605011,1000,12,5,FALSE,0.856669425682292,0.808454387215308,1000,30,30,TRUE,1,0.999999999999998,1000,4,12,FALSE,0.785955693595178,0.680362865701226,1000,23,30,FALSE,0.922823660632768,0.600736197605011
"mu1_0.05_mu2_0.30",0.05,0.3,0.65,202,202,100,1000,9852,27,5,2.09,7.6,8.3901863334306,7.41957223631965,4,3,3,3,3,12,"OK","",1000,3,5,FALSE,0.756095054283819,0.52145186599668,1000,21,27,FALSE,0.934211174665665,0.681726999327541,1000,12,5,FALSE,0.841968598682367,0.752833551290527,1000,27,27,TRUE,1,1,1000,3,12,FALSE,0.612981155153279,0.351044545220992,1000,21,27,FALSE,0.934211174665665,0.681726999327541
"mu1_0.05_mu2_0.30",0.05,0.3,0.65,303,303,100,1000,9838,25,5,2.45999999999999,7.36,8.41483652718064,7.49018349319061,4,3,3,3,3,12,"OK","",1000,3,5,FALSE,0.74796168398644,0.50766921279464,1000,19,25,FALSE,0.922089599960441,0.651406702317167,1000,12,5,FALSE,0.84195724102266,0.756752654179339,1000,23,25,FALSE,0.976932752049957,0.872847310757974,1000,3,12,FALSE,0.605627882836455,0.34309196297331,1000,19,23,FALSE,0.945058107521715,0.768288895260412
"mu1_0.05_mu2_0.40",0.05,0.4,0.55,101,101,100,1000,9788,30,5,2.39,23.02,8.59358739171024,7.72770827826916,3,2,11,3,3,11,"OK","",1000,11,5,FALSE,0.864444620872654,0.812715672323423,1000,11,30,FALSE,0.76224531878836,0.328399066042648,1000,11,5,FALSE,0.864444620872654,0.812715672323423,1000,28,30,FALSE,0.980258071880928,0.873189679702003,1000,11,11,TRUE,1,1,1000,11,28,FALSE,0.78095912691397,0.404492430643812
"mu1_0.05_mu2_0.40",0.05,0.4,0.55,202,202,100,1000,9808,27,5,3.69999999999999,24.05,8.55720487213233,7.75907453858043,3,2,12,3,3,5,"OK","",1000,12,5,FALSE,0.841574523311801,0.752348084996697,1000,12,27,FALSE,0.798620109689886,0.391959679149134,1000,5,5,TRUE,1,1,1000,18,27,FALSE,0.880215334883428,0.510684088630615,1000,12,5,FALSE,0.841574523311801,0.752348084996697,1000,12,18,FALSE,0.916387864245526,0.830991555137858
"mu1_0.05_mu2_0.40",0.05,0.4,0.55,303,303,100,1000,9876,26,5,3.44,6.93000000000001,8.58319101685287,7.80996305065266,3,2,12,3,3,12,"OK","",1000,12,5,FALSE,0.843303221840235,0.758230575680274,1000,12,26,FALSE,0.80148321156293,0.400580811073091,1000,12,5,FALSE,0.843303221840235,0.758230575680274,1000,17,26,FALSE,0.885934413289325,0.555201401899359,1000,12,12,TRUE,1,1,1000,12,17,FALSE,0.913592185428109,0.789166922146627
"mu1_0.10_mu2_0.20",0.1,0.2,0.7,101,101,100,1000,9657,30,5,1.88999999999999,6.64000000000001,8.13271290403527,7.34076200160137,4,3,5,3,3,4,"OK","",1000,5,5,TRUE,1,1,1000,29,30,FALSE,0.990564023390016,0.941101699933281,1000,4,5,FALSE,0.927048171969485,0.863554596258322,1000,30,30,TRUE,1,1,1000,5,4,FALSE,0.927048171969485,0.863554596258322,1000,29,30,FALSE,0.990564023390016,0.941101699933281
"mu1_0.10_mu2_0.20",0.1,0.2,0.7,202,202,100,1000,9472,30,5,1.88,6.61000000000001,8.1536245343428,7.31553553218958,4,3,5,3,3,5,"OK","",1000,5,5,TRUE,1,1,1000,30,30,TRUE,1,0.999999999999998,1000,5,5,TRUE,1,1,1000,30,30,TRUE,1,0.999999999999998,1000,5,5,TRUE,1,1,1000,30,30,TRUE,1,0.999999999999998
"mu1_0.10_mu2_0.20",0.1,0.2,0.7,303,303,100,1000,9688,28,5,2.25,6.78,8.20347610049439,7.37679310393757,4,3,5,3,3,5,"OK","",1000,5,5,TRUE,1,1,1000,28,28,TRUE,1,0.999999999999998,1000,5,5,TRUE,1,1,1000,28,28,TRUE,1,0.999999999999998,1000,5,5,TRUE,1,1,1000,28,28,TRUE,1,0.999999999999998
"mu1_0.10_mu2_0.30",0.1,0.3,0.6,101,101,100,1000,9907,30,5,2.38,9.03,8.61281368720361,7.80328383473963,4,3,3,3,3,4,"OK","",1000,3,5,FALSE,0.773121346995836,0.561609286574146,1000,23,30,FALSE,0.930426474055878,0.649887388821221,1000,4,5,FALSE,0.931946057676665,0.880533476823532,1000,28,30,FALSE,0.980082418032397,0.872125566015078,1000,3,4,FALSE,0.838684581390701,0.663449653639299,1000,23,28,FALSE,0.950275150489242,0.767345788605696
"mu1_0.10_mu2_0.30",0.1,0.3,0.6,202,202,100,1000,9674,28,5,2.13,8.75,8.6038714438149,7.87069970988004,3,2,19,3,4,3,"OK","",1000,19,5,FALSE,0.756214525796285,0.596731227753461,1000,19,28,FALSE,0.882418205511342,0.51177798532137,1000,3,5,FALSE,0.756095054283819,0.52145186599668,1000,26,28,FALSE,0.973292705478004,0.815154715587574,1000,19,3,FALSE,0.539680405438963,0.260830604442976,1000,19,26,FALSE,0.908839228627304,0.666529000232613
"mu1_0.10_mu2_0.30",0.1,0.3,0.6,303,303,100,1000,10224,25,5,2.34999999999999,7.53,8.62899920580666,7.93724646552054,3,2,17,4,4,2,"OK","",1000,17,5,FALSE,0.756861447724466,0.562645229868664,1000,17,25,FALSE,0.892934259346894,0.565875456027607,1000,2,5,FALSE,0.515141853319536,0.266329013991983,1000,23,25,FALSE,0.976912140380956,0.86894599457087,1000,17,2,FALSE,0.348774752733649,0.113446620917688,1000,17,23,FALSE,0.915814018055296,0.678646449573505
"mu1_0.10_mu2_0.40",0.1,0.4,0.5,101,101,100,1000,9906,29,5,2.69,6.62,8.82223878891999,8.23467373356671,3,2,5,3,3,6,"OK","",1000,5,5,TRUE,1,1,1000,5,29,FALSE,0.642404698637376,0.243124871495865,1000,6,5,FALSE,0.977481068087822,0.969690302519176,1000,16,29,FALSE,0.857582008212153,0.477411367017092,1000,5,6,FALSE,0.977481068087822,0.969690302519176,1000,5,16,FALSE,0.773276094291314,0.612407270523342
"mu1_0.10_mu2_0.40",0.1,0.4,0.5,202,202,100,1000,9560,28,5,2.69999999999999,6.44,8.78912771713597,8.16804485222274,3,2,13,2,2,13,"OK","",1000,13,5,FALSE,0.834852868334998,0.748668048411921,1000,13,28,FALSE,0.800755761075988,0.38639165102655,1000,13,5,FALSE,0.834852868334998,0.748668048411921,1000,13,28,FALSE,0.800755761075988,0.38639165102655,1000,13,13,TRUE,1,1,1000,13,13,TRUE,1,1
"mu1_0.10_mu2_0.40",0.1,0.4,0.5,303,303,100,1000,9877,25,5,2.53000000000003,6.10999999999996,8.82508039047639,8.2072970642935,3,2,11,2,2,11,"OK","",1000,11,5,FALSE,0.849421401834446,0.760934419166863,1000,11,25,FALSE,0.799188887865237,0.403217856785638,1000,11,5,FALSE,0.849421401834446,0.760934419166863,1000,11,25,FALSE,0.799188887865237,0.403217856785638,1000,11,11,TRUE,1,1,1000,11,11,TRUE,1,1
"mu1_0.20_mu2_0.20",0.2,0.2,0.6,101,101,100,1000,9918,31,5,2.47000000000003,5.35999999999996,8.66848287558236,8.06995849848768,3,2,29,2,2,29,"OK","",1000,29,5,FALSE,0.651894965326597,0.291437959279833,1000,29,31,FALSE,0.980204055744849,0.869121662953158,1000,29,5,FALSE,0.651894965326597,0.291437959279833,1000,29,31,FALSE,0.980204055744849,0.869121662953158,1000,29,29,TRUE,1,1,1000,29,29,TRUE,1,1
"mu1_0.20_mu2_0.20",0.2,0.2,0.6,202,202,100,1000,10014,28,5,2.48000000000002,5.63,8.73786607577918,8.15079449526612,3,2,28,2,2,28,"OK","",1000,28,5,FALSE,0.646336280602373,0.247142115899744,1000,28,28,TRUE,1,1,1000,28,5,FALSE,0.646336280602373,0.247142115899744,1000,28,28,TRUE,1,1,1000,28,28,TRUE,1,1,1000,28,28,TRUE,1,1
"mu1_0.20_mu2_0.20",0.2,0.2,0.6,303,303,100,1000,9632,26,5,2.58999999999997,5.64000000000004,8.78237641351711,8.2049437214827,3,2,24,2,2,24,"OK","",1000,24,5,FALSE,0.674543990056804,0.328800175266043,1000,24,26,FALSE,0.977132629583612,0.865929569884483,1000,24,5,FALSE,0.674543990056804,0.328800175266043,1000,24,26,FALSE,0.977132629583612,0.865929569884483,1000,24,24,TRUE,1,0.999999999999999,1000,24,24,TRUE,1,0.999999999999999
"mu1_0.20_mu2_0.30",0.2,0.3,0.5,101,101,100,1000,9608,31,5,3.14999999999998,6.02999999999997,9.09533263589408,8.5660577769345,3,2,19,3,3,19,"OK","",1000,19,5,FALSE,0.753581944382261,0.594666179817095,1000,19,31,FALSE,0.868176756163357,0.467871079756676,1000,19,5,FALSE,0.753581944382261,0.594666179817095,1000,24,31,FALSE,0.931785655883992,0.643559872731686,1000,19,19,TRUE,1,1,1000,19,24,FALSE,0.935813923927865,0.783188024271576
"mu1_0.20_mu2_0.30",0.2,0.3,0.5,202,202,100,1000,9685,28,5,3.04999999999995,6.19,9.09617760351277,8.59019990351338,3,2,13,2,2,13,"OK","",1000,13,5,FALSE,0.834806870862677,0.748636603405572,1000,13,28,FALSE,0.800556043043456,0.384977386561412,1000,13,5,FALSE,0.834806870862677,0.748636603405572,1000,13,28,FALSE,0.800556043043456,0.384977386561412,1000,13,13,TRUE,1,1,1000,13,13,TRUE,1,1
"mu1_0.20_mu2_0.30",0.2,0.3,0.5,303,303,100,1000,9792,28,5,3.40000000000003,6.63999999999999,9.06441427706678,8.54100612311225,3,2,20,2,2,20,"OK","",1000,20,5,FALSE,0.740019801023771,0.548155040082677,1000,20,28,FALSE,0.896750135238176,0.549624262857459,1000,20,5,FALSE,0.740019801023771,0.548155040082677,1000,20,28,FALSE,0.896750135238176,0.549624262857459,1000,20,20,TRUE,1,1,1000,20,20,TRUE,1,1
"mu1_0.20_mu2_0.40",0.2,0.4,0.4,101,101,100,1000,9847,31,5,3.34999999999997,6.81,9.21300725638479,8.75752792747127,3,2,5,2,2,5,"OK","",1000,5,5,TRUE,1,1,1000,5,31,FALSE,0.6322909025586,0.224069181522384,1000,5,5,TRUE,1,1,1000,5,31,FALSE,0.6322909025586,0.224069181522384,1000,5,5,TRUE,1,1,1000,5,5,TRUE,1,1
