"Tipo";"Caso";"Redes";"Mediciones";"Nodos";"Aristas";"Infomap inicial (s)";"Prototipo total (s)";"Costo jerarquico (s)";"Overhead jerarquico (%)";"Profundidad maxima";"Reejecuciones medias"
"Red principal";"Zachary Karate Club";"1";"5";"34";"78";"0,1840 ± 0,0195";"0,1900 ± 0,0187";"0,0060 ± 0,0089";"3,452 ± 5,462";"2";"1"
"Red principal";"USairports";"1";"5";"745";"4618";"10,4120 ± 0,0370";"10,5080 ± 0,0342";"0,0960 ± 0,0055";"0,922 ± 0,054";"3";"2"
"Red principal";"Yeast";"1";"5";"2375";"11693";"47,7340 ± 0,1009";"50,0260 ± 0,1088";"2,2920 ± 0,0130";"4,802 ± 0,023";"3";"2"
"Red principal";"LFR 5000";"1";"5";"5000";"48631";"8,9980 ± 0,0432";"9,2600 ± 0,0453";"0,2600 ± 0,0071";"2,889 ± 0,075";"3";"2"
"Configuracion LFR";"mu1=0.05; mu2=0.20";"3";"15";"1000";"9801,3";"1,1987 ± 0,0461";"1,2353 ± 0,0456";"0,0353 ± 0,0074";"2,961 ± 0,691";"3";"2"
"Configuracion LFR";"mu1=0.05; mu2=0.30";"3";"15";"1000";"9801,3";"1,4453 ± 0,0342";"1,4733 ± 0,0360";"0,0267 ± 0,0111";"1,844 ± 0,773";"3";"2"
"Configuracion LFR";"mu1=0.05; mu2=0.40";"3";"15";"1000";"9824";"1,6293 ± 0,0851";"1,6433 ± 0,0863";"0,0140 ± 0,0091";"0,859 ± 0,560";"2";"1"
"Configuracion LFR";"mu1=0.10; mu2=0.20";"3";"15";"1000";"9605,7";"1,3833 ± 0,0403";"1,4253 ± 0,0381";"0,0420 ± 0,0166";"3,049 ± 1,231";"3";"2"
"Configuracion LFR";"mu1=0.10; mu2=0.30";"3";"15";"1000";"9935";"1,6680 ± 0,0399";"1,6900 ± 0,0330";"0,0220 ± 0,0126";"1,331 ± 0,782";"3";"1,33"
"Configuracion LFR";"mu1=0.10; mu2=0.40";"3";"15";"1000";"9781";"1,8720 ± 0,0586";"1,8813 ± 0,0585";"0,0093 ± 0,0070";"0,500 ± 0,383";"2";"1"
"Configuracion LFR";"mu1=0.20; mu2=0.20";"3";"15";"1000";"9854,7";"1,8633 ± 0,0461";"1,8913 ± 0,0419";"0,0280 ± 0,0086";"1,509 ± 0,480";"2";"1"
"Configuracion LFR";"mu1=0.20; mu2=0.30";"3";"15";"1000";"9695";"2,3640 ± 0,1434";"2,3827 ± 0,1449";"0,0187 ± 0,0099";"0,789 ± 0,423";"2";"1"
"Configuracion LFR";"mu1=0.20; mu2=0.40";"3";"15";"1000";"9772,3";"2,7727 ± 0,1792";"2,7833 ± 0,1724";"0,0107 ± 0,0110";"0,402 ± 0,413";"2";"1"
