"tipo_caso","caso","redes_representadas","mediciones","nodos","aristas_media","nb_trials","tiempo_base_media_s","tiempo_base_sd_s","tiempo_total_media_s","tiempo_total_sd_s","overhead_jerarquia_media_s","overhead_jerarquia_sd_s","overhead_jerarquia_media_pct","overhead_jerarquia_sd_pct","profundidad_maxima","reejecuciones_media"
"Red principal","Zachary Karate Club","1","5","34","78","500","0,184","0,0195","0,19","0,0187","0,006","0,0089","3,452","5,462","2","1"
"Red principal","USairports","1","5","745","4618","500","10,412","0,037","10,508","0,0342","0,096","0,0055","0,922","0,054","3","2"
"Red principal","Yeast","1","5","2375","11693","500","47,734","0,1009","50,026","0,1088","2,292","0,013","4,802","0,023","3","2"
"Red principal","LFR 5000","1","5","5000","48631","100","8,998","0,0432","9,26","0,0453","0,26","0,0071","2,889","0,075","3","2"
"Configuracion LFR","mu1_0.05_mu2_0.20","3","15","1000","9801,3","100","1,1987","0,0461","1,2353","0,0456","0,0353","0,0074","2,961","0,691","3","2"
"Configuracion LFR","mu1_0.05_mu2_0.30","3","15","1000","9801,3","100","1,4453","0,0342","1,4733","0,036","0,0267","0,0111","1,844","0,773","3","2"
"Configuracion LFR","mu1_0.05_mu2_0.40","3","15","1000","9824","100","1,6293","0,0851","1,6433","0,0863","0,014","0,0091","0,859","0,56","2","1"
"Configuracion LFR","mu1_0.10_mu2_0.20","3","15","1000","9605,7","100","1,3833","0,0403","1,4253","0,0381","0,042","0,0166","3,049","1,231","3","2"
"Configuracion LFR","mu1_0.10_mu2_0.30","3","15","1000","9935","100","1,668","0,0399","1,69","0,033","0,022","0,0126","1,331","0,782","3","1,33"
"Configuracion LFR","mu1_0.10_mu2_0.40","3","15","1000","9781","100","1,872","0,0586","1,8813","0,0585","0,0093","0,007","0,5","0,383","2","1"
"Configuracion LFR","mu1_0.20_mu2_0.20","3","15","1000","9854,7","100","1,8633","0,0461","1,8913","0,0419","0,028","0,0086","1,509","0,48","2","1"
"Configuracion LFR","mu1_0.20_mu2_0.30","3","15","1000","9695","100","2,364","0,1434","2,3827","0,1449","0,0187","0,0099","0,789","0,423","2","1"
"Configuracion LFR","mu1_0.20_mu2_0.40","3","15","1000","9772,3","100","2,7727","0,1792","2,7833","0,1724","0,0107","0,011","0,402","0,413","2","1"
