"configuracion","mu1","mu2","semilla_red","nodos","aristas","repeticiones","tiempo_base_media_s","tiempo_base_sd_s","tiempo_total_media_s","tiempo_total_sd_s","overhead_jerarquia_media_s","overhead_jerarquia_sd_s","overhead_jerarquia_media_pct","overhead_jerarquia_sd_pct","profundidad_maxima","reejecuciones_media"
"mu1_0.05_mu2_0.20","0,05","0,2","101","1000","9912","5","1,142","0,0084","1,182","0,013","0,04","0,01","3,503","0,874","3","2"
"mu1_0.05_mu2_0.20","0,05","0,2","202","1000","9770","5","1,232","0,0217","1,268","0,0268","0,032","0,0045","2,601","0,396","3","2"
"mu1_0.05_mu2_0.20","0,05","0,2","303","1000","9722","5","1,222","0,0286","1,256","0,0313","0,034","0,0055","2,78","0,426","3","2"
"mu1_0.05_mu2_0.30","0,05","0,3","101","1000","9714","5","1,464","0,0456","1,492","0,0517","0,028","0,011","1,906","0,72","3","2"
"mu1_0.05_mu2_0.30","0,05","0,3","202","1000","9852","5","1,436","0,0251","1,462","0,0217","0,026","0,0152","1,819","1,089","3","2"
"mu1_0.05_mu2_0.30","0,05","0,3","303","1000","9838","5","1,436","0,027","1,466","0,027","0,026","0,0089","1,808","0,618","3","2"
"mu1_0.05_mu2_0.40","0,05","0,4","101","1000","9788","5","1,608","0,0249","1,624","0,0261","0,016","0,0055","0,995","0,34","2","1"
"mu1_0.05_mu2_0.40","0,05","0,4","202","1000","9808","5","1,55","0,0394","1,562","0,0444","0,012","0,011","0,77","0,703","2","1"
"mu1_0.05_mu2_0.40","0,05","0,4","303","1000","9876","5","1,73","0,0453","1,744","0,0451","0,014","0,0114","0,812","0,672","2","1"
"mu1_0.10_mu2_0.20","0,1","0,2","101","1000","9657","5","1,394","0,0313","1,432","0,037","0,038","0,0084","2,721","0,558","3","2"
"mu1_0.10_mu2_0.20","0,1","0,2","202","1000","9472","5","1,358","0,0342","1,398","0,013","0,04","0,0224","2,979","1,713","3","2"
"mu1_0.10_mu2_0.20","0,1","0,2","303","1000","9688","5","1,398","0,0482","1,446","0,0451","0,048","0,0179","3,448","1,311","3","2"
"mu1_0.10_mu2_0.30","0,1","0,3","101","1000","9907","5","1,638","0,0444","1,672","0,0409","0,034","0,0055","2,082","0,376","3","2"
"mu1_0.10_mu2_0.30","0,1","0,3","202","1000","9674","5","1,68","0,0381","1,7","0,0361","0,02","0,0122","1,195","0,739","2","1"
"mu1_0.10_mu2_0.30","0,1","0,3","303","1000","10224","5","1,686","0,0207","1,698","0,0148","0,012","0,0084","0,716","0,504","2","1"
"mu1_0.10_mu2_0.40","0,1","0,4","101","1000","9906","5","1,876","0,0462","1,882","0,0502","0,006","0,0055","0,316","0,289","2","1"
"mu1_0.10_mu2_0.40","0,1","0,4","202","1000","9560","5","1,924","0,0152","1,934","0,0134","0,01","0,0071","0,521","0,368","2","1"
"mu1_0.10_mu2_0.40","0,1","0,4","303","1000","9877","5","1,816","0,0483","1,828","0,0476","0,012","0,0084","0,663","0,468","2","1"
"mu1_0.20_mu2_0.20","0,2","0,2","101","1000","9918","5","1,826","0,0251","1,856","0,0251","0,03","0","1,643","0,023","2","1"
"mu1_0.20_mu2_0.20","0,2","0,2","202","1000","10014","5","1,872","0,055","1,904","0,0493","0,032","0,011","1,718","0,615","2","1"
"mu1_0.20_mu2_0.20","0,2","0,2","303","1000","9632","5","1,892","0,0303","1,914","0,0261","0,022","0,0084","1,166","0,451","2","1"
"mu1_0.20_mu2_0.30","0,2","0,3","101","1000","9608","5","2,302","0,0377","2,326","0,0358","0,024","0,0114","1,045","0,495","2","1"
"mu1_0.20_mu2_0.30","0,2","0,3","202","1000","9685","5","2,242","0,0449","2,256","0,0513","0,014","0,0089","0,62","0,393","2","1"
"mu1_0.20_mu2_0.30","0,2","0,3","303","1000","9792","5","2,548","0,0526","2,566","0,0594","0,018","0,0084","0,702","0,315","2","1"
"mu1_0.20_mu2_0.40","0,2","0,4","101","1000","9847","5","2,55","0,0453","2,566","0,0404","0,016","0,0089","0,631","0,353","2","1"
"mu1_0.20_mu2_0.40","0,2","0,4","202","1000","9753","5","2,808","0,0421","2,824","0,0329","0,016","0,0114","0,574","0,412","2","1"
"mu1_0.20_mu2_0.40","0,2","0,4","303","1000","9717","5","2,96","0,0346","2,96","0,0346","0","0","0","0","2","1"
