"Red";"Nodos";"Aristas";"Tiempo igraph original (s)";"Tiempo prototipo (s)";"Overhead (%)";"Niveles jerarquicos (max_tree_depth)"
"Zachary Karate Club";"34";"78";"0,3680 ± 0,0409";"0,1900 ± 0,0187";"-48,033 ± 5,990";"2"
"USairports";"745";"4618";"19,0480 ± 1,8443";"10,5080 ± 0,0342";"-44,397 ± 5,678";"3"
"Yeast";"2375";"11693";"93,9280 ± 25,8082";"50,0260 ± 0,1088";"-42,586 ± 19,443";"3"
"LFR 5000";"5000";"48631";"9,5820 ± 0,9190";"9,2600 ± 0,0453";"-2,698 ± 8,643";"3"
"LFR mu1=0.05, mu2=0.20 (3 semillas)";"1000";"9801,3";"1,2320 ± 0,0622";"1,2353 ± 0,0456";"0,373 ± 3,189";"3"
"LFR mu1=0.05, mu2=0.30 (3 semillas)";"1000";"9801,3";"1,4847 ± 0,0549";"1,4733 ± 0,0360";"-0,704 ± 2,271";"3"
"LFR mu1=0.05, mu2=0.40 (3 semillas)";"1000";"9824";"1,6793 ± 0,0919";"1,6433 ± 0,0863";"-2,109 ± 2,184";"2"
"LFR mu1=0.10, mu2=0.20 (3 semillas)";"1000";"9605,7";"1,4347 ± 0,0493";"1,4253 ± 0,0381";"-0,573 ± 3,424";"3"
"LFR mu1=0.10, mu2=0.30 (3 semillas)";"1000";"9935";"1,6953 ± 0,0551";"1,6900 ± 0,0330";"-0,256 ± 2,412";"3"
"LFR mu1=0.10, mu2=0.40 (3 semillas)";"1000";"9781";"1,9387 ± 0,0685";"1,8813 ± 0,0585";"-2,904 ± 2,884";"2"
"LFR mu1=0.20, mu2=0.20 (3 semillas)";"1000";"9854,7";"1,8967 ± 0,0851";"1,8913 ± 0,0419";"-0,154 ± 3,478";"2"
"LFR mu1=0.20, mu2=0.30 (3 semillas)";"1000";"9695";"2,3920 ± 0,1444";"2,3827 ± 0,1449";"-0,371 ± 1,966";"2"
"LFR mu1=0.20, mu2=0.40 (3 semillas)";"1000";"9772,3";"2,8107 ± 0,2091";"2,7833 ± 0,1724";"-0,742 ± 5,710";"2"
