"red";"redes_representadas";"mediciones";"nodos";"aristas";"tiempo_original_media_s";"tiempo_original_sd_s";"tiempo_prototipo_media_s";"tiempo_prototipo_sd_s";"overhead_media_pct";"overhead_sd_pct";"max_tree_depth"
"Zachary Karate Club";"1";"5";"34";"78";"0,368";"0,0409";"0,19";"0,0187";"-48,033";"5,99";"2"
"USairports";"1";"5";"745";"4618";"19,048";"1,8443";"10,508";"0,0342";"-44,397";"5,678";"3"
"Yeast";"1";"5";"2375";"11693";"93,928";"25,8082";"50,026";"0,1088";"-42,586";"19,443";"3"
"LFR 5000";"1";"5";"5000";"48631";"9,582";"0,919";"9,26";"0,0453";"-2,698";"8,643";"3"
"LFR mu1=0.05, mu2=0.20 (3 semillas)";"3";"15";"1000";"9801,3";"1,232";"0,0622";"1,2353";"0,0456";"0,373";"3,189";"3"
"LFR mu1=0.05, mu2=0.30 (3 semillas)";"3";"15";"1000";"9801,3";"1,4847";"0,0549";"1,4733";"0,036";"-0,704";"2,271";"3"
"LFR mu1=0.05, mu2=0.40 (3 semillas)";"3";"15";"1000";"9824";"1,6793";"0,0919";"1,6433";"0,0863";"-2,109";"2,184";"2"
"LFR mu1=0.10, mu2=0.20 (3 semillas)";"3";"15";"1000";"9605,7";"1,4347";"0,0493";"1,4253";"0,0381";"-0,573";"3,424";"3"
"LFR mu1=0.10, mu2=0.30 (3 semillas)";"3";"15";"1000";"9935";"1,6953";"0,0551";"1,69";"0,033";"-0,256";"2,412";"3"
"LFR mu1=0.10, mu2=0.40 (3 semillas)";"3";"15";"1000";"9781";"1,9387";"0,0685";"1,8813";"0,0585";"-2,904";"2,884";"2"
"LFR mu1=0.20, mu2=0.20 (3 semillas)";"3";"15";"1000";"9854,7";"1,8967";"0,0851";"1,8913";"0,0419";"-0,154";"3,478";"2"
"LFR mu1=0.20, mu2=0.30 (3 semillas)";"3";"15";"1000";"9695";"2,392";"0,1444";"2,3827";"0,1449";"-0,371";"1,966";"2"
"LFR mu1=0.20, mu2=0.40 (3 semillas)";"3";"15";"1000";"9772,3";"2,8107";"0,2091";"2,7833";"0,1724";"-0,742";"5,71";"2"
