"node_id","membership_original"
1,1
2,2
3,3
4,3
5,2
6,2
7,4
8,5
9,6
10,1
11,3
12,7
13,8
14,1
15,9
16,2
17,2
18,3
19,10
20,2
21,1
22,2
23,4
24,6
25,9
26,6
27,9
28,2
29,2
30,4
31,1
32,6
33,5
34,6
35,8
36,5
37,11
38,2
39,7
40,9
41,10
42,11
43,2
44,2
45,5
46,2
47,2
48,9
49,1
50,2
51,4
52,2
53,2
54,2
55,2
56,1
57,3
58,12
59,8
60,9
61,4
62,9
63,9
64,8
65,5
66,7
67,2
68,2
69,2
70,12
71,2
72,2
73,8
74,2
75,3
76,2
77,5
78,11
79,1
80,11
81,3
82,2
83,2
84,2
85,2
86,5
87,2
88,3
89,9
90,9
91,1
92,7
93,9
94,2
95,6
96,2
97,3
98,6
99,4
100,5
101,11
102,9
103,6
104,1
105,2
106,4
107,2
108,6
109,8
110,7
111,8
112,7
113,6
114,7
115,4
116,9
117,9
118,1
119,9
120,10
121,6
122,7
123,6
124,2
125,9
126,11
127,2
128,1
129,9
130,1
131,9
132,2
133,9
134,11
135,9
136,3
137,5
138,3
139,9
140,9
141,1
142,9
143,3
144,8
145,8
146,2
147,8
148,2
149,9
150,6
151,1
152,2
153,3
154,7
155,3
156,3
157,6
158,2
159,7
160,6
161,7
162,8
163,9
164,7
165,3
166,6
167,4
168,7
169,6
170,4
171,7
172,3
173,4
174,3
175,9
176,6
177,2
178,2
179,2
180,2
181,9
182,2
