"node_id","level_1","level_2","final_module"
1,1,1,1
2,1,2,2
3,1,3,3
4,1,3,3
5,1,2,2
6,1,2,2
7,1,4,4
8,1,5,5
9,1,6,6
10,1,1,1
11,1,3,3
12,1,7,7
13,1,8,8
14,1,1,1
15,1,9,9
16,1,2,2
17,1,2,2
18,1,3,3
19,1,10,10
20,1,2,2
21,1,1,1
22,1,2,2
23,1,4,4
24,1,6,6
25,1,9,9
26,1,6,6
27,1,9,9
28,1,2,2
29,1,2,2
30,1,4,4
31,1,1,1
32,1,6,6
33,1,5,5
34,1,6,6
35,1,8,8
36,1,5,5
37,1,11,11
38,1,2,2
39,1,7,7
40,1,9,9
41,1,10,10
42,1,11,11
43,1,2,2
44,1,2,2
45,1,5,5
46,1,2,2
47,1,2,2
48,1,9,9
49,1,1,1
50,1,2,2
51,1,4,4
52,1,2,2
53,1,2,2
54,1,2,2
55,1,2,2
56,1,1,1
57,1,3,3
58,1,12,12
59,1,8,8
60,1,9,9
61,1,4,4
62,1,9,9
63,1,9,9
64,1,8,8
65,1,5,5
66,1,7,7
67,1,2,2
68,1,2,2
69,1,2,2
70,1,12,12
71,1,2,2
72,1,2,2
73,1,8,8
74,1,2,2
75,1,3,3
76,1,2,2
77,1,5,5
78,1,11,11
79,1,1,1
80,1,11,11
81,1,3,3
82,1,2,2
83,1,2,2
84,1,2,2
85,1,2,2
86,1,5,5
87,1,2,2
88,1,3,3
89,1,9,9
90,1,9,9
91,1,1,1
92,1,7,7
93,1,9,9
94,1,2,2
95,1,6,6
96,1,2,2
97,1,3,3
98,1,6,6
99,1,4,4
100,1,5,5
101,1,11,11
102,1,9,9
103,1,6,6
104,1,1,1
105,1,2,2
106,1,4,4
107,1,2,2
108,1,6,6
109,1,8,8
110,1,7,7
111,1,8,8
112,1,7,7
113,1,6,6
114,1,7,7
115,1,4,4
116,1,9,9
117,1,9,9
118,1,1,1
119,1,9,9
120,1,10,10
121,1,6,6
122,1,7,7
123,1,6,6
124,1,2,2
125,1,9,9
126,1,11,11
127,1,2,2
128,1,1,1
129,1,9,9
130,1,1,1
131,1,9,9
132,1,2,2
133,1,9,9
134,1,11,11
135,1,9,9
136,1,3,3
137,1,5,5
138,1,3,3
139,1,9,9
140,1,9,9
141,1,1,1
142,1,9,9
143,1,3,3
144,1,8,8
145,1,8,8
146,1,2,2
147,1,8,8
148,1,2,2
149,1,9,9
150,1,6,6
151,1,1,1
152,1,2,2
153,1,3,3
154,1,7,7
155,1,3,3
156,1,3,3
157,1,6,6
158,1,2,2
159,1,7,7
160,1,6,6
161,1,7,7
162,1,8,8
163,1,9,9
164,1,7,7
165,1,3,3
166,1,6,6
167,1,4,4
168,1,7,7
169,1,6,6
170,1,4,4
171,1,7,7
172,1,3,3
173,1,4,4
174,1,3,3
175,1,9,9
176,1,6,6
177,1,2,2
178,1,2,2
179,1,2,2
180,1,2,2
181,1,9,9
182,1,2,2
