"semilla","repeticion","nivel","tiempo_igraph_seg","tiempo_oficial_seg","nodos","comunidades_a","comunidades_b","misma_particion","nmi","ari"
1,1,"superior",63.71,59.93,2375,17,13,FALSE,0.68934684596935,0.494678437471371
1,1,"final",63.71,59.93,2375,199,236,FALSE,0.948188328409279,0.835711403187379
2,1,"superior",62.26,61.88,2375,15,13,FALSE,0.683701983364507,0.446322466702968
2,1,"final",62.26,61.88,2375,197,242,FALSE,0.948229481903999,0.823033900869984
3,1,"superior",67.1,62.59,2375,15,13,FALSE,0.698483692920475,0.52424442544545
3,1,"final",67.1,62.59,2375,205,243,FALSE,0.947045500749673,0.830277379624982
4,1,"superior",67.17,61.4999999999999,2375,15,10,FALSE,0.771403964170632,0.683391082568416
4,1,"final",67.17,61.4999999999999,2375,199,231,FALSE,0.948752397435873,0.810754145791248
5,1,"superior",63.1899999999999,63.98,2375,15,13,FALSE,0.704787504072624,0.479165099277598
5,1,"final",63.1899999999999,63.98,2375,200,242,FALSE,0.949498575673279,0.858205091366357
6,1,"superior",75.1600000000001,478.58,2375,15,13,FALSE,0.665686954947892,0.440769838735737
6,1,"final",75.1600000000001,478.58,2375,203,244,FALSE,0.946715544110517,0.830109574609101
7,1,"superior",69.3600000000001,64.78,2375,16,11,FALSE,0.797197844887223,0.694005570808451
7,1,"final",69.3600000000001,64.78,2375,205,236,FALSE,0.943402202335285,0.781396196524593
8,1,"superior",67.05,64.1700000000001,2375,14,12,FALSE,0.652387815364099,0.472170769978651
8,1,"final",67.05,64.1700000000001,2375,200,237,FALSE,0.955281990788497,0.851753224200699
9,1,"superior",90.5699999999999,117.83,2375,16,12,FALSE,0.695151410746467,0.549658828328255
9,1,"final",90.5699999999999,117.83,2375,202,234,FALSE,0.951740184045703,0.850269544731593
123,1,"superior",80.45,74.9199999999998,2375,15,13,FALSE,0.75442933103185,0.593382971889504
123,1,"final",80.45,74.9199999999998,2375,203,239,FALSE,0.940386590914033,0.790368016354777
