"node_id","top_modificado","final_modificado","top_oficial","final_oficial"
1,1,1,1,3
2,1,1,1,3
3,2,2,3,94
4,3,3,8,193
5,3,4,2,41
6,3,5,5,150
7,3,5,5,150
8,4,6,13,240
9,5,7,7,185
10,3,8,2,68
11,3,4,2,41
12,1,1,1,3
13,4,9,13,238
14,2,10,3,99
15,3,11,1,1
16,3,12,3,98
17,3,13,1,4
18,5,14,7,172
19,6,15,7,174
20,5,16,7,184
21,3,17,1,6
22,3,11,1,1
23,7,18,4,122
24,3,11,1,1
25,4,9,13,238
26,1,19,1,2
27,1,19,1,2
28,3,5,5,150
29,3,5,5,150
30,1,19,1,2
31,3,13,1,4
32,3,12,3,98
33,3,20,2,38
34,2,10,3,99
35,3,21,1,11
36,1,19,1,2
37,1,19,1,2
38,1,19,1,2
39,3,22,2,40
40,3,11,1,1
41,4,6,13,240
42,1,19,1,2
43,1,19,1,2
44,3,23,2,35
45,3,5,5,150
46,1,1,1,3
47,1,19,1,2
48,2,24,3,103
49,1,19,1,2
50,2,25,3,100
51,8,26,10,206
52,7,27,4,138
53,1,19,1,2
54,9,28,11,221
55,3,11,1,1
56,3,8,2,68
57,1,19,1,2
58,1,1,1,3
59,1,29,1,12
60,10,30,9,200
61,3,31,8,198
62,2,2,3,94
63,1,1,1,3
64,3,11,1,1
65,2,25,3,100
66,7,18,4,122
67,2,2,3,94
68,5,32,7,173
69,3,11,1,1
70,2,33,3,106
71,1,19,1,2
72,1,34,1,22
73,8,26,10,206
74,10,35,9,201
75,11,36,6,161
76,2,25,3,100
77,6,37,7,186
78,5,38,7,171
79,1,1,1,3
80,2,25,3,100
81,8,26,10,206
82,1,39,1,13
83,10,30,9,200
84,7,27,4,138
85,1,19,1,2
86,3,40,2,48
87,7,41,4,123
88,1,34,1,22
89,1,19,1,2
90,4,9,13,238
91,1,19,1,2
92,3,42,2,60
93,1,19,1,2
94,2,25,3,100
95,1,1,1,3
96,3,43,1,9
97,5,38,7,171
98,7,41,4,123
99,6,15,7,174
100,2,25,3,100
101,1,29,1,12
102,2,10,3,99
103,3,44,2,74
104,3,5,5,151
105,9,45,11,220
106,3,11,1,1
107,3,11,1,1
108,3,11,1,1
109,3,11,1,1
110,3,11,1,1
111,4,6,13,240
112,3,11,1,1
113,3,11,1,1
114,3,46,2,57
