"red","semilla","ensayos","particion_modificada","particion_oficial","nodos_comparados","comunidades_a","comunidades_b","misma_particion","nmi","ari"
"USairports",123,500,"level_3","oficial_no_regularizado_final",745,52,57,FALSE,0.951960884595205,0.921999383416782
"USairports",123,500,"final_module","oficial_no_regularizado_final",745,52,57,FALSE,0.951960884595205,0.921999383416782
"USairports",123,500,"membership_igraph","oficial_no_regularizado_final",745,52,57,FALSE,0.951960884595205,0.921999383416782
"USairports",123,500,"level_2","oficial_no_regularizado_final",745,5,57,FALSE,0.564848558118433,0.496170389200462
"USairports",123,500,"level_1","oficial_no_regularizado_final",745,1,57,FALSE,0,7.34007674467341e-17
"USairports",123,500,"level_2","oficial_no_regularizado_top",745,5,5,TRUE,1,1
"USairports",123,500,"level_3","oficial_no_regularizado_top",745,52,5,FALSE,0.568167321593397,0.476424965373386
"USairports",123,500,"final_module","oficial_no_regularizado_top",745,52,5,FALSE,0.568167321593397,0.476424965373386
"USairports",123,500,"membership_igraph","oficial_no_regularizado_top",745,52,5,FALSE,0.568167321593397,0.476424965373386
"USairports",123,500,"level_1","oficial_no_regularizado_top",745,1,5,FALSE,0,2.19464624601185e-16
"USairports",123,500,"level_3","oficial_regularizado_final",745,52,44,FALSE,0.923971680942953,0.873485278138035
"USairports",123,500,"final_module","oficial_regularizado_final",745,52,44,FALSE,0.923971680942953,0.873485278138035
"USairports",123,500,"membership_igraph","oficial_regularizado_final",745,52,44,FALSE,0.923971680942953,0.873485278138035
"USairports",123,500,"level_2","oficial_regularizado_final",745,5,44,FALSE,0.611559834781584,0.570176578358276
"USairports",123,500,"level_1","oficial_regularizado_final",745,1,44,FALSE,0,0
"USairports",123,500,"level_3","oficial_regularizado_top",745,52,44,FALSE,0.923971680942953,0.873485278138035
"USairports",123,500,"final_module","oficial_regularizado_top",745,52,44,FALSE,0.923971680942953,0.873485278138035
"USairports",123,500,"membership_igraph","oficial_regularizado_top",745,52,44,FALSE,0.923971680942953,0.873485278138035
"USairports",123,500,"level_2","oficial_regularizado_top",745,5,44,FALSE,0.611559834781584,0.570176578358276
"USairports",123,500,"level_1","oficial_regularizado_top",745,1,44,FALSE,0,0
"yeast",123,500,"level_3","oficial_no_regularizado_final",2375,203,239,FALSE,0.940386590914033,0.790368016354777
"yeast",123,500,"final_module","oficial_no_regularizado_final",2375,203,239,FALSE,0.940386590914033,0.790368016354777
"yeast",123,500,"membership_igraph","oficial_no_regularizado_final",2375,203,239,FALSE,0.940386590914033,0.790368016354777
"yeast",123,500,"level_2","oficial_no_regularizado_final",2375,15,239,FALSE,0.524389076038755,0.0478196199231283
"yeast",123,500,"level_1","oficial_no_regularizado_final",2375,1,239,FALSE,0,-4.55663576000184e-17
"yeast",123,500,"level_2","oficial_no_regularizado_top",2375,15,13,FALSE,0.75442933103185,0.593382971889504
"yeast",123,500,"level_3","oficial_no_regularizado_top",2375,203,13,FALSE,0.560953539680387,0.0858532194952668
"yeast",123,500,"final_module","oficial_no_regularizado_top",2375,203,13,FALSE,0.560953539680387,0.0858532194952668
"yeast",123,500,"membership_igraph","oficial_no_regularizado_top",2375,203,13,FALSE,0.560953539680387,0.0858532194952668
"yeast",123,500,"level_1","oficial_no_regularizado_top",2375,1,13,FALSE,0,7.00075934699042e-17
"yeast",123,500,"level_3","oficial_regularizado_final",2375,203,171,FALSE,0.944718469456065,0.823359934762134
"yeast",123,500,"final_module","oficial_regularizado_final",2375,203,171,FALSE,0.944718469456065,0.823359934762134
"yeast",123,500,"membership_igraph","oficial_regularizado_final",2375,203,171,FALSE,0.944718469456065,0.823359934762134
"yeast",123,500,"level_2","oficial_regularizado_final",2375,15,171,FALSE,0.540349784210429,0.0561012932450875
"yeast",123,500,"level_1","oficial_regularizado_final",2375,1,171,FALSE,0,-5.61905503710432e-17
"yeast",123,500,"level_3","oficial_regularizado_top",2375,203,171,FALSE,0.944718469456065,0.823359934762134
"yeast",123,500,"final_module","oficial_regularizado_top",2375,203,171,FALSE,0.944718469456065,0.823359934762134
"yeast",123,500,"membership_igraph","oficial_regularizado_top",2375,203,171,FALSE,0.944718469456065,0.823359934762134
