"node_id","level_1","level_2","level_3","final_module","membership_igraph","oficial_no_regularizado_top","oficial_no_regularizado_final","oficial_regularizado_top","oficial_regularizado_final"
1,1,1,1,1,1,1,3,1,1
2,1,1,1,1,1,1,3,1,1
3,1,2,2,2,2,4,128,2,2
4,1,3,3,3,3,2,37,3,3
5,1,3,4,4,4,2,38,4,4
6,1,3,5,5,5,5,143,5,5
7,1,3,5,5,5,5,143,5,5
8,1,4,6,6,6,13,237,6,6
9,1,5,7,7,7,7,175,7,7
10,1,3,8,8,8,2,63,8,8
11,1,3,4,4,4,2,38,4,4
12,1,1,1,1,1,1,3,1,1
13,1,4,9,9,9,13,235,9,9
14,1,2,10,10,10,4,130,2,2
15,1,3,11,11,11,1,1,10,10
16,1,3,12,12,12,2,56,11,11
17,1,3,13,13,13,2,34,12,12
18,1,5,14,14,14,7,170,13,13
19,1,6,15,15,15,10,209,14,14
20,1,5,16,16,16,7,180,15,15
21,1,3,11,11,11,1,5,16,16
22,1,3,11,11,11,1,1,10,10
23,1,7,17,17,17,3,99,17,17
24,1,3,11,11,11,1,1,10,10
25,1,4,9,9,9,13,235,9,9
26,1,1,18,18,18,1,2,18,18
27,1,1,18,18,18,1,2,18,18
28,1,3,5,5,5,5,143,5,5
29,1,3,5,5,5,5,143,5,5
30,1,1,18,18,18,1,2,18,18
31,1,3,13,13,13,2,34,12,12
32,1,3,12,12,12,2,56,11,11
33,1,3,19,19,19,2,69,19,19
34,1,2,10,10,10,4,130,20,20
35,1,3,11,11,11,1,1,10,10
36,1,1,18,18,18,1,2,18,18
37,1,1,18,18,18,1,2,18,18
38,1,1,18,18,18,1,2,18,18
39,1,3,20,20,20,2,43,21,21
40,1,3,11,11,11,1,1,10,10
41,1,4,6,6,6,13,237,6,6
42,1,1,18,18,18,1,2,18,18
43,1,1,18,18,18,1,2,18,18
44,1,3,21,21,21,2,36,22,22
45,1,3,5,5,5,5,143,5,5
46,1,1,1,1,1,1,3,1,1
47,1,1,18,18,18,1,2,18,18
48,1,2,22,22,22,5,151,23,23
49,1,1,18,18,18,1,2,18,18
50,1,2,23,23,23,4,131,24,24
51,1,8,24,24,24,11,218,25,25
52,1,7,25,25,25,3,112,26,26
53,1,1,18,18,18,1,2,18,18
54,1,9,26,26,26,9,192,27,27
55,1,3,11,11,11,1,1,10,10
56,1,3,8,8,8,2,63,8,8
57,1,1,18,18,18,1,2,18,18
58,1,1,1,1,1,1,3,1,1
59,1,1,27,27,27,1,10,28,28
60,1,10,28,28,28,8,185,29,29
61,1,3,29,29,29,2,86,30,30
62,1,2,2,2,2,4,128,2,2
63,1,1,1,1,1,1,3,1,1
64,1,3,11,11,11,1,1,10,10
65,1,2,23,23,23,4,131,24,24
66,1,7,17,17,17,3,99,17,17
67,1,2,2,2,2,4,128,2,2
68,1,5,30,30,30,7,171,31,31
69,1,3,11,11,11,1,1,10,10
70,1,2,31,31,31,4,133,32,32
71,1,1,18,18,18,1,2,18,18
72,1,1,32,32,32,1,22,33,33
73,1,8,24,24,24,11,218,25,25
74,1,10,33,33,33,8,187,20,20
75,1,11,34,34,34,6,160,34,34
76,1,2,23,23,23,4,131,24,24
77,1,6,35,35,35,10,214,35,35
78,1,5,36,36,36,7,169,36,36
79,1,1,1,1,1,1,3,1,1
80,1,2,23,23,23,4,131,24,24
81,1,8,24,24,24,11,218,25,25
82,1,1,37,37,37,1,9,37,37
83,1,10,28,28,28,8,186,29,29
84,1,7,25,25,25,3,112,26,26
85,1,1,18,18,18,1,2,18,18
86,1,3,38,38,38,2,54,38,38
87,1,7,39,39,39,3,101,39,39
88,1,1,32,32,32,1,22,33,33
89,1,1,18,18,18,1,2,18,18
90,1,4,9,9,9,13,235,9,9
91,1,1,18,18,18,1,2,18,18
92,1,3,40,40,40,5,147,40,40
93,1,1,18,18,18,1,2,18,18
94,1,2,23,23,23,4,131,24,24
95,1,1,1,1,1,1,3,1,1
96,1,3,41,41,41,1,8,41,41
97,1,5,36,36,36,7,169,36,36
98,1,7,39,39,39,3,101,39,39
99,1,6,15,15,15,10,209,14,14
100,1,2,23,23,23,4,131,24,24
101,1,1,27,27,27,1,10,28,28
102,1,2,10,10,10,4,130,20,20
103,1,3,42,42,42,2,77,42,42
104,1,3,5,5,5,5,144,5,5
105,1,9,43,43,43,9,191,43,43
106,1,3,11,11,11,1,1,10,10
107,1,3,11,11,11,1,1,10,10
108,1,3,11,11,11,1,1,10,10
109,1,3,11,11,11,1,1,10,10
110,1,3,11,11,11,1,1,10,10
111,1,4,6,6,6,13,237,6,6
112,1,3,11,11,11,1,1,10,10
113,1,3,11,11,11,1,1,10,10
114,1,3,44,44,44,2,62,44,44
115,1,3,11,11,11,1,1,10,10
116,1,3,11,11,11,1,1,10,10
117,1,3,11,11,11,1,1,10,10
118,1,7,45,45,45,3,102,45,45
119,1,3,11,11,11,1,1,10,10
120,1,3,11,11,11,1,1,10,10
121,1,3,46,46,46,2,64,46,46
122,1,3,46,46,46,2,64,46,46
123,1,3,11,11,11,1,1,10,10
124,1,3,11,11,11,1,1,10,10
125,1,3,11,11,11,1,1,10,10
126,1,11,34,34,34,6,160,34,34
127,1,3,3,3,3,2,37,3,3
128,1,3,11,11,11,1,1,10,10
129,1,3,47,47,47,2,32,47,47
130,1,9,26,26,26,9,192,27,27
131,1,3,4,4,4,2,38,4,4
132,1,3,48,48,48,2,35,48,48
133,1,3,11,11,11,1,1,10,10
134,1,3,3,3,3,2,37,3,3
135,1,3,11,11,11,1,1,10,10
136,1,3,11,11,11,1,1,10,10
137,1,3,48,48,48,2,35,48,48
138,1,3,49,49,49,2,39,49,49
139,1,3,48,48,48,2,35,48,48
140,1,11,34,34,34,6,160,34,34
