"node_id","modificado_top","modificado_final","oficial_jerarquico_top","oficial_jerarquico_final","oficial_two_level_top","oficial_two_level_final"
1,1,1,1,3,1,1
2,1,1,1,3,1,1
3,2,2,4,128,2,2
4,3,3,2,37,3,3
5,3,4,2,38,4,4
6,3,5,5,143,5,5
7,3,5,5,143,5,5
8,4,6,13,237,6,6
9,5,7,7,175,7,7
10,3,8,2,63,8,8
11,3,4,2,38,4,4
12,1,1,1,3,1,1
13,4,9,13,235,9,9
14,2,10,4,130,10,10
15,3,11,1,1,11,11
16,3,12,2,56,12,12
17,3,13,2,34,13,13
18,5,14,7,170,14,14
19,6,15,10,209,15,15
20,5,16,7,180,16,16
21,3,11,1,5,11,11
22,3,11,1,1,11,11
23,7,17,3,99,17,17
24,3,11,1,1,11,11
25,4,9,13,235,9,9
26,1,18,1,2,18,18
27,1,18,1,2,18,18
28,3,5,5,143,5,5
29,3,5,5,143,5,5
30,1,18,1,2,18,18
31,3,13,2,34,13,13
32,3,12,2,56,12,12
33,3,19,2,69,19,19
34,2,10,4,130,10,10
35,3,11,1,1,11,11
36,1,18,1,2,18,18
37,1,18,1,2,18,18
38,1,18,1,2,18,18
39,3,20,2,43,20,20
40,3,11,1,1,11,11
41,4,6,13,237,6,6
42,1,18,1,2,18,18
43,1,18,1,2,18,18
44,3,21,2,36,21,21
45,3,5,5,143,5,5
46,1,1,1,3,1,1
47,1,18,1,2,18,18
48,2,22,5,151,22,22
49,1,18,1,2,18,18
50,2,23,4,131,23,23
51,8,24,11,218,24,24
52,7,25,3,112,25,25
53,1,18,1,2,18,18
54,9,26,9,192,26,26
55,3,11,1,1,11,11
56,3,8,2,63,8,8
57,1,18,1,2,18,18
58,1,1,1,3,1,1
59,1,27,1,10,27,27
60,10,28,8,185,28,28
61,3,29,2,86,29,29
62,2,2,4,128,2,2
63,1,1,1,3,1,1
64,3,11,1,1,11,11
65,2,23,4,131,23,23
66,7,17,3,99,17,17
67,2,2,4,128,2,2
68,5,30,7,171,30,30
69,3,11,1,1,11,11
70,2,31,4,133,23,23
71,1,18,1,2,18,18
72,1,32,1,22,31,31
73,8,24,11,218,24,24
74,10,33,8,187,32,32
75,11,34,6,160,33,33
76,2,23,4,131,23,23
77,6,35,10,214,34,34
78,5,36,7,169,35,35
79,1,1,1,3,1,1
80,2,23,4,131,23,23
81,8,24,11,218,24,24
82,1,37,1,9,36,36
83,10,28,8,186,28,28
84,7,25,3,112,25,25
85,1,18,1,2,18,18
86,3,38,2,54,37,37
87,7,39,3,101,38,38
88,1,32,1,22,31,31
89,1,18,1,2,18,18
90,4,9,13,235,9,9
91,1,18,1,2,18,18
92,3,40,5,147,39,39
93,1,18,1,2,18,18
94,2,23,4,131,23,23
95,1,1,1,3,1,1
96,3,41,1,8,40,40
97,5,36,7,169,35,35
98,7,39,3,101,38,38
99,6,15,10,209,15,15
100,2,23,4,131,23,23
101,1,27,1,10,27,27
102,2,10,4,130,10,10
103,3,42,2,77,41,41
104,3,5,5,144,5,5
105,9,43,9,191,42,42
106,3,11,1,1,11,11
107,3,11,1,1,11,11
108,3,11,1,1,11,11
109,3,11,1,1,11,11
110,3,11,1,1,11,11
111,4,6,13,237,6,6
112,3,11,1,1,11,11
113,3,11,1,1,11,11
114,3,44,2,62,43,43
115,3,11,1,1,11,11
116,3,11,1,1,11,11
117,3,11,1,1,11,11
118,7,45,3,102,44,44
