"red","nivel_superior_usado","supermodulo","nodos_en_supermodulo","comunidades_finales_contenidas"
"Zachary","level_2",1,12,1
"Zachary","level_2",2,5,1
"Zachary","level_2",3,17,1
"USairports","level_2",1,505,34
"USairports","level_2",2,120,10
"USairports","level_2",3,35,2
"USairports","level_2",4,56,3
"USairports","level_2",5,29,3
"enron","level_2",1,15,1
"enron","level_2",2,47,1
"enron","level_2",3,18,1
"enron","level_2",4,11,1
"enron","level_2",5,9,1
"enron","level_2",6,18,1
"enron","level_2",7,14,1
"enron","level_2",8,11,1
"enron","level_2",9,27,1
"enron","level_2",10,3,1
"enron","level_2",11,7,1
"enron","level_2",12,2,1
"UKfaculty","level_2",1,16,1
"UKfaculty","level_2",2,24,1
"UKfaculty","level_2",3,23,1
"UKfaculty","level_2",4,4,1
"UKfaculty","level_2",5,2,1
"UKfaculty","level_2",6,6,1
"UKfaculty","level_2",7,2,1
"UKfaculty","level_2",8,4,1
"yeast","level_2",1,168,15
"yeast","level_2",2,139,13
"yeast","level_2",3,1217,89
"yeast","level_2",4,22,3
"yeast","level_2",5,98,11
"yeast","level_2",6,74,7
"yeast","level_2",7,286,23
"yeast","level_2",8,62,7
"yeast","level_2",9,73,10
"yeast","level_2",10,40,3
"yeast","level_2",11,83,8
"yeast","level_2",12,32,3
"yeast","level_2",13,37,5
"yeast","level_2",14,19,3
"yeast","level_2",15,25,3
