"node_id","membership_modificado","final_module"
1,1,1
2,1,1
3,2,2
4,3,3
5,4,4
6,5,5
7,5,5
8,6,6
9,7,7
10,8,8
11,4,4
12,1,1
13,9,9
14,10,10
15,11,11
16,12,12
17,13,13
18,14,14
19,15,15
20,16,16
21,11,11
22,11,11
23,17,17
24,11,11
25,9,9
26,18,18
27,18,18
28,5,5
29,5,5
30,18,18
31,13,13
32,12,12
33,19,19
34,10,10
35,11,11
36,18,18
37,18,18
38,18,18
39,20,20
40,11,11
41,6,6
42,18,18
43,18,18
44,21,21
45,5,5
46,1,1
47,18,18
48,22,22
49,18,18
50,23,23
51,24,24
52,25,25
53,18,18
54,26,26
55,11,11
56,8,8
57,18,18
58,1,1
59,27,27
60,28,28
61,29,29
62,2,2
63,1,1
64,11,11
65,23,23
66,17,17
67,2,2
68,30,30
69,11,11
70,31,31
71,18,18
72,32,32
73,24,24
74,33,33
75,34,34
76,23,23
77,35,35
78,36,36
79,1,1
80,23,23
81,24,24
82,37,37
83,28,28
84,25,25
85,18,18
86,38,38
87,39,39
88,32,32
89,18,18
90,9,9
91,18,18
92,40,40
93,18,18
94,23,23
95,1,1
96,41,41
97,36,36
98,39,39
99,15,15
100,23,23
101,27,27
102,10,10
103,42,42
104,5,5
105,43,43
106,11,11
107,11,11
108,11,11
109,11,11
110,11,11
111,6,6
112,11,11
113,11,11
114,44,44
115,11,11
116,11,11
117,11,11
118,45,45
119,11,11
120,11,11
121,46,46
122,46,46
123,11,11
124,11,11
125,11,11
126,34,34
127,3,3
128,11,11
129,47,47
130,26,26
131,4,4
132,48,48
133,11,11
134,3,3
135,11,11
136,11,11
137,48,48
138,49,49
139,48,48
140,34,34
141,50,50
142,3,3
143,11,11
144,51,51
145,2,2
146,52,52
147,3,3
148,53,53
149,52,52
150,54,54
151,55,55
152,47,47
153,18,18
154,1,1
155,16,16
156,11,11
157,48,48
158,2,2
159,5,5
160,18,18
161,26,26
162,5,5
163,2,2
164,48,48
165,21,21
166,16,16
167,56,56
168,57,57
169,19,19
170,18,18
171,5,5
172,5,5
173,13,13
174,28,28
175,14,14
176,11,11
177,58,58
178,2,2
179,34,34
180,5,5
181,13,13
182,1,1
183,19,19
184,20,20
185,56,56
186,59,59
187,4,4
188,3,3
189,18,18
190,18,18
191,13,13
192,18,18
193,5,5
194,3,3
195,21,21
196,3,3
197,5,5
198,21,21
199,13,13
200,12,12
201,60,60
202,11,11
203,44,44
204,21,21
205,61,61
206,28,28
207,6,6
208,3,3
209,12,12
210,59,59
211,8,8
212,17,17
213,5,5
214,2,2
215,62,62
216,2,2
217,1,1
218,28,28
219,63,63
220,1,1
221,64,64
222,2,2
223,18,18
224,20,20
225,17,17
226,65,65
227,22,22
228,61,61
229,2,2
230,11,11
231,62,62
232,63,63
233,21,21
234,66,66
235,5,5
236,12,12
237,13,13
238,59,59
239,22,22
240,22,22
241,1,1
242,17,17
243,1,1
244,5,5
245,61,61
246,67,67
247,5,5
248,63,63
249,18,18
250,12,12
251,5,5
252,20,20
253,1,1
254,59,59
255,68,68
256,50,50
257,1,1
258,13,13
259,69,69
260,27,27
261,61,61
262,28,28
263,70,70
264,71,71
265,18,18
266,5,5
267,41,41
268,72,72
269,73,73
270,50,50
271,11,11
272,74,74
273,72,72
274,23,23
275,11,11
276,48,48
277,1,1
278,21,21
279,75,75
280,76,76
281,11,11
282,77,77
283,5,5
284,64,64
285,11,11
286,78,78
287,79,79
288,72,72
289,17,17
290,39,39
291,80,80
292,34,34
293,11,11
294,81,81
295,59,59
296,25,25
297,1,1
298,36,36
299,18,18
300,72,72
301,82,82
302,5,5
303,11,11
304,61,61
305,73,73
306,78,78
307,2,2
308,25,25
309,83,83
310,20,20
311,80,80
312,84,84
313,85,85
314,13,13
315,1,1
316,30,30
317,86,86
318,47,47
319,11,11
320,87,87
321,11,11
322,37,37
323,59,59
324,2,2
325,39,39
326,44,44
327,1,1
328,88,88
329,83,83
330,66,66
331,80,80
332,5,5
333,1,1
334,2,2
335,59,59
336,24,24
337,89,89
338,71,71
339,46,46
340,29,29
341,59,59
