"node_id","membership_original"
1,1
2,1
3,2
4,3
5,4
6,5
7,5
8,6
9,7
10,8
11,4
12,1
13,9
14,10
15,11
16,12
17,13
18,14
19,15
20,16
21,11
22,11
23,17
24,11
25,9
26,18
27,18
28,5
29,5
30,18
31,13
32,12
33,19
34,10
35,11
36,18
37,18
38,18
39,20
40,11
41,6
42,18
43,18
44,21
45,5
46,1
47,18
48,22
49,18
50,23
51,24
52,25
53,18
54,26
55,11
56,8
57,18
58,1
59,27
60,28
61,29
62,2
63,1
64,11
65,23
66,17
67,2
68,30
69,11
70,31
71,18
72,32
73,24
74,33
75,34
76,23
77,35
78,36
79,1
80,23
81,24
82,37
83,28
84,25
85,18
86,38
87,39
88,32
89,18
90,9
91,18
92,40
93,18
94,23
95,1
96,41
97,36
98,39
99,15
100,23
101,27
102,10
103,42
104,5
105,43
106,11
107,11
108,11
109,11
110,11
111,6
112,11
113,11
114,44
115,11
116,11
117,11
118,45
119,11
120,11
121,46
122,46
123,11
124,11
125,11
126,34
127,3
128,11
129,47
130,26
131,4
132,48
133,11
134,3
135,11
136,11
137,48
138,49
139,48
140,34
141,50
142,3
143,11
144,51
145,2
146,52
147,3
148,53
149,52
150,54
151,55
152,47
153,18
154,1
155,16
156,11
157,48
158,2
159,5
160,18
161,26
162,5
163,2
164,48
165,21
166,16
167,56
168,57
169,19
170,18
171,5
172,5
173,13
174,28
175,14
176,11
177,58
178,2
179,34
180,5
181,13
182,1
183,19
184,20
185,56
186,59
187,4
188,3
189,18
190,18
191,13
192,18
193,5
194,3
195,21
196,3
197,5
198,21
199,13
200,12
201,60
202,11
203,44
204,21
205,61
206,28
207,6
208,3
209,12
210,59
211,8
212,17
213,5
214,2
215,62
216,2
217,1
218,28
219,63
220,1
221,64
222,2
223,18
224,20
225,17
226,65
227,22
228,61
229,2
230,11
231,62
232,63
233,21
234,66
235,5
236,12
237,13
238,59
239,22
240,22
241,1
242,17
243,1
244,5
245,61
246,67
247,5
248,63
249,18
250,12
251,5
252,20
253,1
254,59
255,68
256,50
257,1
258,13
259,69
260,27
261,61
262,28
263,70
264,71
265,18
266,5
267,41
268,72
269,73
270,50
271,11
272,74
273,72
274,23
275,11
276,48
277,1
278,21
279,75
280,76
281,11
282,77
283,5
284,64
285,11
286,78
287,79
288,72
289,17
290,39
291,80
292,34
293,11
294,81
295,59
296,25
297,1
298,36
299,18
300,72
301,82
302,5
303,11
304,61
305,73
306,78
307,2
308,25
309,83
310,20
311,80
312,84
313,85
314,13
315,1
316,30
317,86
318,47
319,11
320,87
321,11
322,37
323,59
324,2
325,39
326,44
327,1
328,88
329,83
330,66
331,80
332,5
333,1
334,2
335,59
336,24
337,89
338,71
339,46
340,29
341,59
342,11
343,37
344,78
345,11
346,90
347,37
348,18
349,91
350,44
351,89
352,92
353,30
354,93
355,5
356,94
357,95
358,18
359,18
360,87
361,73
362,18
363,2
364,79
365,96
366,58
367,37
368,11
369,86
370,92
371,82
372,14
373,72
374,97
375,5
376,18
377,20
378,98
379,28
380,36
381,5
382,99
383,100
384,92
385,100
386,101
387,41
388,87
389,4
390,80
391,102
392,103
393,53
394,18
395,18
396,20
397,96
398,104
399,23
400,5
401,5
402,20
403,51
404,101
405,73
406,68
407,28
408,105
409,58
410,75
411,83
412,73
413,106
414,107
415,1
416,78
417,97
418,2
419,80
420,20
421,23
422,89
423,100
424,45
425,20
426,18
427,1
428,11
429,73
430,1
431,103
432,40
433,28
434,20
435,15
436,63
437,68
438,62
439,13
440,58
441,101
442,108
443,45
444,22
445,11
446,109
447,13
448,110
449,107
450,69
451,58
452,111
453,1
454,14
455,101
456,34
457,18
458,34
459,91
460,63
461,13
462,18
463,1
464,47
465,23
466,18
467,14
468,58
469,2
470,78
471,112
472,19
473,18
474,25
475,54
476,20
477,113
478,73
479,114
480,61
481,59
482,115
483,116
484,46
485,54
486,117
487,5
488,1
489,54
490,111
491,49
492,11
493,112
494,8
495,36
496,103
497,31
498,2
499,65
500,118
501,28
502,11
503,1
504,116
505,99
506,72
507,118
508,73
509,89
510,69
511,1
512,10
513,15
514,21
515,119
516,63
517,39
518,89
519,1
520,29
521,5
522,106
523,102
524,94
525,120
526,121
527,122
528,107
529,72
530,123
531,14
532,16
533,95
534,1
535,117
536,73
537,1
538,1
539,124
540,23
541,125
542,89
543,119
544,18
545,126
546,2
547,39
548,76
549,66
550,1
551,65
552,105
553,127
554,18
555,71
556,128
557,55
558,22
559,1
560,129
561,98
562,61
563,130
564,120
565,118
566,65
567,28
568,60
569,131
570,60
571,57
572,1
573,32
574,87
575,24
576,107
577,50
578,103
579,23
580,84
581,18
582,10
583,38
584,129
585,72
586,59
587,77
588,14
589,39
590,33
591,28
592,39
593,1
594,14
595,107
596,89
597,45
598,88
599,1
600,124
