"node_id","membership_original"
1,1
2,1
3,2
4,3
5,4
6,5
7,5
8,6
9,7
10,8
11,4
12,1
13,9
14,10
15,11
16,12
17,13
18,14
19,15
20,16
21,11
22,11
23,17
24,11
25,9
26,18
27,18
28,5
29,5
30,18
31,13
32,12
33,19
34,10
35,11
36,18
37,18
38,18
39,20
40,11
41,6
42,18
43,18
44,21
45,5
46,1
47,18
48,22
49,18
50,23
51,24
52,25
53,18
54,26
55,11
56,8
57,18
58,1
59,27
60,28
61,29
62,2
63,1
64,11
65,23
66,17
67,2
68,30
69,11
70,31
71,18
72,32
73,24
74,33
75,34
76,23
77,35
78,36
79,1
80,23
81,24
82,37
83,28
84,25
85,18
86,38
87,39
88,32
89,18
90,9
91,18
92,40
93,18
94,23
95,1
96,41
97,36
98,39
99,15
100,23
101,27
102,10
103,42
104,5
105,43
106,11
107,11
108,11
109,11
110,11
111,6
112,11
113,11
114,44
115,11
116,11
117,11
118,45
119,11
120,11
121,46
122,46
123,11
124,11
125,11
126,34
127,3
128,11
129,47
130,26
131,4
132,48
133,11
134,3
135,11
136,11
137,48
138,49
139,48
140,34
141,50
142,3
143,11
144,51
145,2
146,52
147,3
148,53
149,52
150,54
151,55
152,47
153,18
154,1
155,16
156,11
157,48
158,2
159,5
160,18
161,26
162,5
163,2
164,48
165,21
166,16
167,56
168,57
169,58
170,18
171,5
172,5
173,13
174,28
175,14
176,11
177,59
178,2
179,34
180,5
181,13
182,1
183,58
184,20
185,56
186,60
187,4
188,3
189,18
190,18
191,13
192,18
193,5
194,3
195,21
196,3
197,5
198,21
199,13
200,12
201,61
202,11
203,44
204,21
205,62
206,28
207,6
208,3
209,12
210,60
211,8
212,17
213,5
214,2
215,63
216,2
217,1
218,28
219,64
220,1
221,65
222,2
223,18
224,20
225,17
226,66
227,22
228,62
229,2
230,11
231,63
232,64
233,21
234,67
235,5
236,12
237,13
238,60
239,22
240,22
241,1
242,17
243,1
244,5
245,62
246,68
247,5
248,64
249,18
250,12
251,5
252,20
253,1
254,60
255,69
256,50
257,1
258,13
259,70
260,27
261,62
262,28
263,71
264,72
265,18
266,5
267,41
268,73
269,74
270,50
271,11
272,75
273,73
274,23
275,11
276,48
277,1
278,21
279,76
280,77
281,11
282,78
283,5
284,65
285,11
286,79
287,80
288,73
289,17
290,39
291,81
292,34
293,11
294,82
295,60
296,25
297,1
298,36
299,18
300,73
301,83
302,5
303,11
304,62
305,84
306,79
307,2
308,25
309,85
310,20
311,81
312,86
313,87
314,13
315,1
316,30
317,88
318,89
319,11
320,90
321,11
322,37
323,60
324,2
325,39
326,44
327,1
328,91
329,85
330,67
331,81
332,5
333,1
334,2
335,60
336,24
337,92
338,72
339,46
340,29
341,60
342,11
343,37
344,79
345,11
346,93
347,37
348,18
349,94
350,44
351,92
352,95
353,30
354,96
355,5
356,97
357,84
358,18
359,18
360,90
361,74
362,18
363,2
364,80
365,98
366,59
367,37
368,11
369,88
370,95
371,83
372,14
373,73
374,99
375,5
376,18
377,20
378,100
379,28
380,36
381,5
382,101
383,102
384,95
385,102
386,103
387,41
388,90
389,4
390,81
391,104
392,105
393,53
394,18
395,18
396,20
397,98
398,106
399,23
400,5
401,5
402,20
403,51
404,103
405,107
406,69
407,28
408,108
409,59
410,76
411,85
412,74
413,11
414,109
415,1
416,79
417,99
418,2
419,81
420,20
421,23
422,92
423,102
424,45
425,20
426,18
427,1
428,11
429,74
430,1
431,89
432,40
433,28
434,20
435,15
436,64
437,69
438,63
439,13
440,59
441,103
442,110
443,111
444,22
445,11
446,112
447,13
448,113
449,109
450,70
451,59
452,114
453,1
454,14
455,103
456,34
457,18
458,34
459,94
460,64
461,13
462,18
463,1
464,115
465,23
466,18
467,14
468,59
469,2
470,79
471,116
472,19
473,18
474,25
475,54
476,20
477,117
478,107
479,118
480,62
481,60
482,119
483,120
484,46
485,54
486,111
487,5
488,1
489,54
490,114
491,49
492,11
493,116
494,8
495,36
496,105
497,31
498,2
499,66
500,121
501,28
502,11
503,1
504,120
505,101
506,73
507,121
508,74
509,92
510,70
511,1
512,10
513,15
514,21
515,122
516,64
517,39
518,92
519,1
520,29
521,5
522,123
523,104
524,97
525,124
526,125
527,126
528,109
529,73
530,127
531,14
532,16
533,84
534,1
535,111
536,74
537,1
538,1
539,128
540,23
541,129
542,92
543,122
544,18
545,130
546,2
547,39
548,77
549,67
550,1
551,66
552,108
553,131
554,18
555,115
556,132
557,55
558,22
559,1
560,109
561,100
562,62
563,133
564,124
565,121
566,66
567,28
568,61
569,134
570,61
571,57
572,1
573,32
574,90
575,24
576,109
577,50
578,105
579,23
580,86
581,18
582,10
583,38
584,109
585,73
586,60
587,78
588,14
589,39
590,33
591,28
592,39
593,1
594,14
595,109
596,92
597,45
598,91
599,1
600,128
