"node_id","level_1","level_2","level_3","final_module"
1,1,1,1,1
2,1,1,1,1
3,1,2,2,2
4,1,3,3,3
5,1,3,4,4
6,1,3,5,5
7,1,3,5,5
8,1,4,6,6
9,1,5,7,7
10,1,3,8,8
11,1,3,4,4
12,1,1,1,1
13,1,4,9,9
14,1,2,10,10
15,1,3,11,11
16,1,3,12,12
17,1,3,13,13
18,1,5,14,14
19,1,6,15,15
20,1,5,16,16
21,1,3,11,11
22,1,3,11,11
23,1,7,17,17
24,1,3,11,11
25,1,4,9,9
26,1,1,18,18
27,1,1,18,18
28,1,3,5,5
29,1,3,5,5
30,1,1,18,18
31,1,3,13,13
32,1,3,12,12
33,1,3,19,19
34,1,2,10,10
35,1,3,11,11
36,1,1,18,18
37,1,1,18,18
38,1,1,18,18
39,1,3,20,20
40,1,3,11,11
41,1,4,6,6
42,1,1,18,18
43,1,1,18,18
44,1,3,21,21
45,1,3,5,5
46,1,1,1,1
47,1,1,18,18
48,1,2,22,22
49,1,1,18,18
50,1,2,23,23
51,1,8,24,24
52,1,7,25,25
53,1,1,18,18
54,1,9,26,26
55,1,3,11,11
56,1,3,8,8
57,1,1,18,18
58,1,1,1,1
59,1,1,27,27
60,1,10,28,28
61,1,3,29,29
62,1,2,2,2
63,1,1,1,1
64,1,3,11,11
65,1,2,23,23
66,1,7,17,17
67,1,2,2,2
68,1,5,30,30
69,1,3,11,11
70,1,2,31,31
71,1,1,18,18
72,1,1,32,32
73,1,8,24,24
74,1,10,33,33
75,1,11,34,34
76,1,2,23,23
77,1,6,35,35
78,1,5,36,36
79,1,1,1,1
80,1,2,23,23
81,1,8,24,24
82,1,1,37,37
83,1,10,28,28
84,1,7,25,25
85,1,1,18,18
86,1,3,38,38
87,1,7,39,39
88,1,1,32,32
89,1,1,18,18
90,1,4,9,9
91,1,1,18,18
92,1,3,40,40
93,1,1,18,18
94,1,2,23,23
95,1,1,1,1
96,1,3,41,41
97,1,5,36,36
98,1,7,39,39
99,1,6,15,15
100,1,2,23,23
101,1,1,27,27
102,1,2,10,10
103,1,3,42,42
104,1,3,5,5
105,1,9,43,43
106,1,3,11,11
107,1,3,11,11
108,1,3,11,11
109,1,3,11,11
110,1,3,11,11
111,1,4,6,6
112,1,3,11,11
113,1,3,11,11
114,1,3,44,44
115,1,3,11,11
116,1,3,11,11
117,1,3,11,11
118,1,7,45,45
119,1,3,11,11
120,1,3,11,11
121,1,3,46,46
122,1,3,46,46
123,1,3,11,11
124,1,3,11,11
125,1,3,11,11
126,1,11,34,34
127,1,3,3,3
128,1,3,11,11
129,1,3,47,47
130,1,9,26,26
131,1,3,4,4
132,1,3,48,48
133,1,3,11,11
134,1,3,3,3
135,1,3,11,11
136,1,3,11,11
137,1,3,48,48
138,1,3,49,49
139,1,3,48,48
140,1,11,34,34
141,1,12,50,50
142,1,3,3,3
143,1,3,11,11
144,1,1,51,51
145,1,2,2,2
146,1,7,52,52
147,1,3,3,3
148,1,3,53,53
149,1,7,52,52
150,1,3,54,54
151,1,1,55,55
152,1,3,47,47
153,1,1,18,18
154,1,1,1,1
155,1,5,16,16
156,1,3,11,11
157,1,3,48,48
158,1,2,2,2
159,1,3,5,5
160,1,1,18,18
161,1,9,26,26
162,1,3,5,5
163,1,2,2,2
164,1,3,48,48
165,1,3,21,21
166,1,5,16,16
167,1,3,56,56
168,1,3,57,57
169,1,3,19,19
170,1,1,18,18
171,1,3,5,5
172,1,3,5,5
173,1,3,13,13
174,1,10,28,28
175,1,5,14,14
176,1,3,11,11
177,1,7,58,58
178,1,2,2,2
179,1,11,34,34
180,1,3,5,5
181,1,3,13,13
182,1,1,1,1
183,1,3,19,19
184,1,3,20,20
185,1,3,56,56
186,1,11,59,59
187,1,3,4,4
188,1,3,3,3
189,1,1,18,18
190,1,1,18,18
191,1,3,13,13
192,1,1,18,18
193,1,3,5,5
194,1,3,3,3
195,1,3,21,21
196,1,3,3,3
197,1,3,5,5
198,1,3,21,21
199,1,3,13,13
200,1,3,12,12
201,1,3,60,60
202,1,3,11,11
203,1,3,44,44
204,1,3,21,21
205,1,13,61,61
206,1,10,28,28
207,1,4,6,6
208,1,3,3,3
209,1,3,12,12
210,1,11,59,59
211,1,3,8,8
212,1,7,17,17
213,1,3,5,5
214,1,2,2,2
215,1,14,62,62
216,1,2,2,2
217,1,1,1,1
218,1,10,28,28
219,1,7,63,63
220,1,1,1,1
221,1,7,64,64
222,1,2,2,2
223,1,1,18,18
224,1,3,20,20
225,1,7,17,17
226,1,2,65,65
227,1,2,22,22
228,1,13,61,61
229,1,2,2,2
230,1,3,11,11
231,1,14,62,62
232,1,7,63,63
233,1,3,21,21
234,1,3,66,66
235,1,3,5,5
236,1,3,12,12
237,1,3,13,13
238,1,11,59,59
239,1,2,22,22
240,1,2,22,22
241,1,1,1,1
242,1,7,17,17
243,1,1,1,1
244,1,3,5,5
245,1,13,61,61
246,1,3,67,67
247,1,3,5,5
248,1,7,63,63
249,1,1,18,18
250,1,3,12,12
251,1,3,5,5
252,1,3,20,20
253,1,1,1,1
254,1,11,59,59
255,1,12,68,68
256,1,12,50,50
257,1,1,1,1
258,1,3,13,13
259,1,3,69,69
260,1,1,27,27
261,1,13,61,61
262,1,10,28,28
263,1,3,70,70
264,1,3,71,71
265,1,1,18,18
266,1,3,5,5
267,1,3,41,41
268,1,3,72,72
269,1,3,73,73
270,1,12,50,50
271,1,3,11,11
272,1,8,74,74
273,1,3,72,72
274,1,2,23,23
275,1,3,11,11
276,1,3,48,48
277,1,1,1,1
278,1,3,21,21
279,1,3,75,75
280,1,3,76,76
281,1,3,11,11
282,1,7,77,77
283,1,3,5,5
284,1,7,64,64
285,1,3,11,11
286,1,2,78,78
287,1,13,79,79
288,1,3,72,72
289,1,7,17,17
290,1,7,39,39
291,1,3,80,80
292,1,11,34,34
293,1,3,11,11
294,1,8,81,81
295,1,11,59,59
296,1,7,25,25
297,1,1,1,1
298,1,5,36,36
299,1,1,18,18
300,1,3,72,72
301,1,3,82,82
302,1,3,5,5
303,1,3,11,11
304,1,13,61,61
305,1,3,73,73
306,1,2,78,78
307,1,2,2,2
308,1,7,25,25
309,1,3,83,83
310,1,3,20,20
311,1,3,80,80
312,1,7,84,84
313,1,3,85,85
314,1,3,13,13
315,1,1,1,1
316,1,5,30,30
317,1,6,86,86
318,1,3,47,47
319,1,3,11,11
320,1,1,87,87
321,1,3,11,11
322,1,1,37,37
323,1,11,59,59
324,1,2,2,2
325,1,7,39,39
326,1,3,44,44
327,1,1,1,1
328,1,3,88,88
329,1,3,83,83
330,1,3,66,66
331,1,3,80,80
332,1,3,5,5
333,1,1,1,1
334,1,2,2,2
335,1,11,59,59
336,1,8,24,24
337,1,3,89,89
338,1,3,71,71
339,1,3,46,46
340,1,3,29,29
341,1,11,59,59
342,1,3,11,11
343,1,1,37,37
344,1,2,78,78
345,1,3,11,11
346,1,3,90,90
347,1,1,37,37
348,1,1,18,18
349,1,1,91,91
350,1,3,44,44
351,1,3,89,89
352,1,4,92,92
353,1,5,30,30
354,1,3,93,93
355,1,3,5,5
356,1,3,94,94
357,1,3,95,95
358,1,1,18,18
359,1,1,18,18
360,1,1,87,87
361,1,3,73,73
362,1,1,18,18
363,1,2,2,2
364,1,13,79,79
365,1,5,96,96
366,1,7,58,58
367,1,1,37,37
368,1,3,11,11
369,1,6,86,86
370,1,4,92,92
371,1,3,82,82
372,1,5,14,14
373,1,3,72,72
374,1,3,97,97
375,1,3,5,5
376,1,1,18,18
377,1,3,20,20
378,1,2,98,98
379,1,10,28,28
380,1,5,36,36
381,1,3,5,5
382,1,5,99,99
383,1,3,100,100
384,1,4,92,92
385,1,3,100,100
386,1,2,101,101
387,1,3,41,41
388,1,1,87,87
389,1,3,4,4
390,1,3,80,80
391,1,3,102,102
392,1,3,103,103
393,1,3,53,53
394,1,1,18,18
395,1,1,18,18
396,1,3,20,20
397,1,5,96,96
398,1,3,104,104
399,1,2,23,23
400,1,3,5,5
401,1,3,5,5
402,1,3,20,20
403,1,1,51,51
404,1,2,101,101
405,1,3,73,73
406,1,12,68,68
407,1,10,28,28
408,1,8,105,105
409,1,7,58,58
410,1,3,75,75
411,1,3,83,83
412,1,3,73,73
413,1,3,11,11
414,1,6,106,106
415,1,1,1,1
416,1,2,78,78
417,1,3,97,97
418,1,2,2,2
419,1,3,80,80
420,1,3,20,20
421,1,2,23,23
422,1,3,89,89
423,1,3,100,100
424,1,7,45,45
425,1,3,20,20
426,1,1,18,18
427,1,1,1,1
428,1,3,11,11
429,1,3,73,73
430,1,1,1,1
431,1,3,103,103
432,1,3,40,40
433,1,10,28,28
434,1,3,20,20
435,1,6,15,15
436,1,7,63,63
437,1,12,68,68
438,1,14,62,62
439,1,3,13,13
440,1,7,58,58
441,1,2,101,101
442,1,3,107,107
443,1,7,108,108
444,1,2,22,22
445,1,3,11,11
446,1,15,109,109
447,1,3,13,13
448,1,1,110,110
449,1,6,106,106
450,1,3,69,69
451,1,7,58,58
452,1,3,111,111
453,1,1,1,1
454,1,5,14,14
455,1,2,101,101
456,1,11,34,34
457,1,1,18,18
458,1,11,34,34
459,1,1,91,91
460,1,7,63,63
461,1,3,13,13
462,1,1,18,18
463,1,1,1,1
464,1,3,47,47
465,1,2,23,23
466,1,1,18,18
467,1,5,14,14
468,1,7,58,58
469,1,2,2,2
470,1,2,78,78
471,1,6,112,112
472,1,3,19,19
473,1,1,18,18
474,1,7,25,25
475,1,3,54,54
476,1,3,20,20
477,1,13,113,113
478,1,3,73,73
479,1,3,114,114
480,1,13,61,61
481,1,11,59,59
482,1,2,115,115
483,1,3,116,116
484,1,3,46,46
485,1,3,54,54
486,1,7,108,108
487,1,3,5,5
488,1,1,1,1
489,1,3,54,54
490,1,3,111,111
491,1,3,49,49
492,1,3,11,11
493,1,6,112,112
494,1,3,8,8
495,1,5,36,36
496,1,3,103,103
497,1,2,31,31
498,1,2,2,2
499,1,2,65,65
500,1,7,117,117
501,1,10,28,28
502,1,3,11,11
503,1,1,1,1
504,1,3,116,116
505,1,5,99,99
506,1,3,72,72
507,1,7,117,117
508,1,3,73,73
509,1,3,89,89
510,1,3,69,69
511,1,1,1,1
512,1,2,10,10
513,1,6,15,15
514,1,3,21,21
515,1,9,118,118
516,1,7,63,63
517,1,7,39,39
518,1,3,89,89
519,1,1,1,1
520,1,3,29,29
521,1,3,5,5
522,1,3,119,119
523,1,3,102,102
524,1,3,94,94
525,1,7,120,120
526,1,7,121,121
527,1,1,122,122
528,1,6,106,106
529,1,3,72,72
530,1,10,123,123
531,1,5,14,14
532,1,5,16,16
533,1,3,95,95
534,1,1,1,1
535,1,7,108,108
536,1,3,73,73
537,1,1,1,1
538,1,1,1,1
539,1,6,124,124
540,1,2,23,23
541,1,7,125,125
542,1,3,89,89
543,1,9,118,118
544,1,1,18,18
545,1,3,126,126
546,1,2,2,2
547,1,7,39,39
548,1,3,76,76
549,1,3,66,66
550,1,1,1,1
551,1,2,65,65
552,1,8,105,105
553,1,1,127,127
554,1,1,18,18
555,1,3,71,71
556,1,15,128,128
557,1,1,55,55
558,1,2,22,22
559,1,1,1,1
560,1,6,106,106
561,1,2,98,98
562,1,13,61,61
563,1,5,129,129
564,1,7,120,120
565,1,7,117,117
566,1,2,65,65
567,1,10,28,28
568,1,3,60,60
569,1,12,130,130
570,1,3,60,60
571,1,3,57,57
572,1,1,1,1
573,1,1,32,32
574,1,1,87,87
575,1,8,24,24
576,1,6,106,106
577,1,12,50,50
578,1,3,103,103
579,1,2,23,23
580,1,7,84,84
581,1,1,18,18
582,1,2,10,10
583,1,3,38,38
584,1,6,106,106
585,1,3,72,72
586,1,11,59,59
587,1,7,77,77
588,1,5,14,14
589,1,7,39,39
590,1,10,33,33
591,1,10,28,28
592,1,7,39,39
593,1,1,1,1
594,1,5,14,14
595,1,6,106,106
596,1,3,89,89
597,1,7,45,45
598,1,3,88,88
599,1,1,1,1
600,1,6,124,124
601,1,6,15,15
602,1,7,131,131
603,1,3,60,60
604,1,6,35,35
605,1,1,18,18
606,1,7,39,39
607,1,2,31,31
608,1,2,31,31
609,1,11,34,34
610,1,3,5,5
611,1,1,18,18
612,1,7,132,132
613,1,3,133,133
614,1,1,32,32
615,1,5,30,30
616,1,1,1,1
617,1,1,1,1
618,1,3,11,11
619,1,5,14,14
620,1,7,39,39
621,1,6,15,15
622,1,11,59,59
623,1,15,134,134
624,1,8,135,135
625,1,7,136,136
626,1,3,137,137
627,1,3,107,107
628,1,3,46,46
629,1,7,120,120
630,1,3,138,138
631,1,11,139,139
632,1,15,109,109
633,1,8,135,135
634,1,3,11,11
635,1,3,11,11
636,1,7,58,58
637,1,3,11,11
638,1,3,11,11
639,1,3,11,11
640,1,3,11,11
641,1,3,11,11
642,1,3,11,11
643,1,3,11,11
644,1,3,11,11
645,1,3,11,11
646,1,7,77,77
647,1,3,11,11
648,1,3,11,11
649,1,3,11,11
650,1,3,11,11
651,1,3,11,11
652,1,3,11,11
653,1,3,11,11
654,1,3,11,11
655,1,3,11,11
656,1,3,11,11
657,1,3,11,11
658,1,3,11,11
659,1,3,11,11
660,1,3,11,11
661,1,3,11,11
662,1,3,69,69
663,1,7,64,64
664,1,3,11,11
665,1,3,11,11
666,1,3,11,11
667,1,7,136,136
668,1,14,140,140
669,1,3,66,66
670,1,3,11,11
671,1,3,11,11
672,1,3,11,11
673,1,3,90,90
674,1,3,11,11
675,1,3,11,11
676,1,3,141,141
677,1,3,11,11
678,1,4,6,6
679,1,3,11,11
680,1,3,60,60
681,1,15,134,134
682,1,3,11,11
683,1,3,11,11
684,1,3,60,60
685,1,9,26,26
686,1,3,11,11
687,1,15,134,134
688,1,3,4,4
689,1,3,11,11
690,1,3,70,70
691,1,3,46,46
692,1,3,3,3
693,1,8,142,142
694,1,2,98,98
695,1,11,139,139
696,1,3,11,11
697,1,3,11,11
698,1,3,143,143
699,1,3,3,3
700,1,9,43,43
701,1,3,11,11
702,1,3,143,143
703,1,3,47,47
704,1,3,56,56
705,1,3,48,48
706,1,3,48,48
707,1,3,48,48
708,1,3,3,3
709,1,3,48,48
710,1,11,144,144
711,1,3,94,94
712,1,3,11,11
713,1,3,138,138
714,1,3,103,103
715,1,3,3,3
716,1,3,145,145
717,1,3,3,3
718,1,3,48,48
719,1,3,80,80
720,1,11,146,146
721,1,3,83,83
722,1,3,137,137
723,1,3,70,70
724,1,3,70,70
725,1,3,60,60
726,1,3,48,48
727,1,3,11,11
728,1,3,47,47
729,1,10,123,123
730,1,3,71,71
731,1,3,4,4
732,1,3,48,48
733,1,7,64,64
734,1,3,53,53
735,1,3,53,53
736,1,3,102,102
737,1,9,147,147
738,1,3,38,38
739,1,13,113,113
740,1,3,53,53
741,1,3,60,60
742,1,5,99,99
743,1,9,148,148
744,1,3,82,82
745,1,3,53,53
746,1,10,28,28
747,1,3,72,72
748,1,3,104,104
749,1,3,75,75
750,1,3,60,60
751,1,10,28,28
752,1,3,47,47
753,1,11,149,149
754,1,3,70,70
755,1,3,21,21
756,1,3,104,104
757,1,8,142,142
758,1,3,60,60
759,1,3,3,3
760,1,3,47,47
761,1,3,3,3
762,1,9,150,150
763,1,3,151,151
764,1,2,2,2
765,1,3,3,3
766,1,3,152,152
767,1,3,3,3
768,1,3,8,8
769,1,3,153,153
770,1,3,60,60
771,1,3,93,93
772,1,10,28,28
773,1,3,152,152
774,1,3,3,3
775,1,3,93,93
776,1,10,28,28
777,1,3,152,152
778,1,3,152,152
779,1,10,28,28
780,1,3,104,104
781,1,3,11,11
782,1,3,56,56
783,1,3,137,137
784,1,3,11,11
785,1,1,27,27
786,1,1,1,1
787,1,3,82,82
788,1,3,126,126
789,1,3,88,88
790,1,3,11,11
791,1,3,11,11
792,1,2,2,2
793,1,6,154,154
794,1,3,11,11
795,1,5,16,16
796,1,3,103,103
797,1,3,49,49
798,1,3,89,89
799,1,3,11,11
800,1,3,60,60
801,1,3,88,88
802,1,2,2,2
803,1,3,155,155
804,1,7,45,45
805,1,3,41,41
806,1,9,118,118
807,1,3,93,93
808,1,11,156,156
809,1,6,154,154
810,1,3,3,3
811,1,3,60,60
812,1,11,156,156
813,1,11,144,144
814,1,10,28,28
815,1,7,77,77
816,1,3,48,48
817,1,2,98,98
818,1,9,43,43
819,1,3,90,90
820,1,3,82,82
821,1,10,28,28
822,1,11,157,157
823,1,3,155,155
824,1,3,3,3
825,1,3,158,158
826,1,3,71,71
827,1,3,54,54
828,1,9,150,150
829,1,3,119,119
830,1,3,158,158
831,1,3,85,85
832,1,3,126,126
833,1,3,88,88
834,1,6,124,124
835,1,3,11,11
836,1,7,77,77
837,1,3,80,80
838,1,3,53,53
839,1,9,148,148
840,1,3,8,8
841,1,9,43,43
842,1,3,11,11
843,1,9,159,159
844,1,3,60,60
845,1,9,150,150
846,1,8,142,142
847,1,1,27,27
848,1,3,133,133
849,1,3,4,4
850,1,2,2,2
851,1,3,160,160
852,1,3,44,44
853,1,3,114,114
854,1,3,8,8
855,1,3,8,8
856,1,9,161,161
857,1,3,114,114
858,1,3,102,102
859,1,3,21,21
860,1,3,3,3
861,1,2,22,22
862,1,3,3,3
863,1,3,60,60
864,1,3,162,162
865,1,3,102,102
866,1,3,11,11
867,1,3,41,41
868,1,3,80,80
869,1,3,11,11
870,1,3,46,46
871,1,12,50,50
872,1,3,11,11
873,1,3,53,53
874,1,3,47,47
875,1,3,60,60
876,1,3,88,88
