"node_id","level_1","level_2","final_module"
1,1,1,1
2,1,2,2
3,1,1,1
4,1,2,2
5,1,2,2
6,1,3,3
7,1,3,3
8,1,2,2
9,1,1,1
10,1,3,3
11,1,1,1
12,1,4,4
13,1,4,4
14,1,2,2
15,1,2,2
16,1,3,3
17,1,5,5
18,1,2,2
19,1,4,4
20,1,6,6
21,1,1,1
22,1,2,2
23,1,7,7
24,1,1,1
25,1,8,8
26,1,9,9
27,1,2,2
28,1,2,2
29,1,1,1
30,1,1,1
31,1,4,4
32,1,1,1
33,1,2,2
34,1,5,5
35,1,2,2
36,1,8,8
37,1,8,8
38,1,9,9
39,1,5,5
40,1,7,7
41,1,4,4
42,1,1,1
43,1,1,1
44,1,7,7
45,1,1,1
46,1,5,5
47,1,9,9
48,1,5,5
49,1,10,10
50,1,9,9
51,1,11,11
52,1,5,5
53,1,2,2
54,1,7,7
55,1,11,11
56,1,5,5
57,1,10,10
58,1,2,2
59,1,5,5
60,1,11,11
61,1,8,8
62,1,7,7
63,1,9,9
64,1,4,4
65,1,3,3
66,1,4,4
67,1,2,2
68,1,9,9
69,1,10,10
70,1,6,6
71,1,8,8
72,1,5,5
73,1,6,6
74,1,4,4
75,1,2,2
76,1,10,10
77,1,1,1
78,1,10,10
79,1,11,11
80,1,5,5
