"node_id","level_1","level_2","final_module"
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,1,1,1
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,2,2
22,1,2,2
23,1,2,2
24,1,2,2
25,1,2,2
26,1,2,2
27,1,2,2
28,1,2,2
29,1,2,2
30,1,2,2
31,1,3,3
32,1,3,3
33,1,3,3
34,1,3,3
35,1,3,3
36,1,3,3
37,1,3,3
38,1,3,3
39,1,3,3
40,1,3,3
41,1,4,4
42,1,4,4
43,1,4,4
44,1,4,4
45,1,4,4
46,1,4,4
47,1,4,4
48,1,4,4
49,1,4,4
50,1,4,4
51,1,4,4
52,1,4,4
53,1,4,4
54,1,4,4
55,1,4,4
56,1,4,4
57,1,4,4
58,1,4,4
59,1,4,4
60,1,4,4
